Land use,N_trt,N_ctrl,mean_trt,mean_ctrl,SD_trt,SD_ctrl,Type of inhibitora ,Type of chemical or organic fertilizerb,Soil type,Total N application rate ,study_id
upland,2,2,0.127,0.164,0.008,0.02,AM,U,Andosol,200,Akiyama et al. 2000
upland,2,2,1.74,3.62,,,nitrapyrin,AA,Typic Haplaquoll,180,Bremner et al. 1981
upland,2,2,0.55,1.37,,,nitrapyrin,AA,Typic Haplaquoll,180,Bremner et al. 1981
upland,4,4,1.174,3.362,0.193,0.973,nitrapyrin,U,mesic Aridic Argiustoll,218,Bronson et al. 1992
upland,4,4,2.255,3.362,1.223,0.973,Ca-carbide,U,mesic Aridic Argiustoll,218,Bronson et al. 1992
upland,4,4,2.27,3.362,0.483,0.973,Ca-carbide,U,mesic Aridic Argiustoll,218,Bronson et al. 1992
upland,4,4,1.109,3.226,0.188,0.965,nitrapyrin,U,mesic Aridic Argiustoll,218,Bronson et al. 1992
upland,4,4,1.017,3.226,0.451,0.965,Ca-carbide,U,mesic Aridic Argiustoll,218,Bronson et al. 1992
upland,4,4,1.005,3.226,0.171,0.965,Ca-carbide,U,mesic Aridic Argiustoll,218,Bronson et al. 1992
upland,4,4,0.98,1.651,0.593,0.618,nitrapyrin,U,mesic Aridic Argiustoll,218,Bronson et al. 1992
upland,4,4,0.483,1.651,0.128,0.618,Ca-carbide,U,mesic Aridic Argiustoll,218,Bronson et al. 1992
upland,4,4,0.434,1.651,0.192,0.618,Ca-carbide,U,mesic Aridic Argiustoll,218,Bronson et al. 1992
upland,4,4,0.468,0.738,,,DCD,U,mesic Aridic Argiustoll,90,Delgado & Mosier 1996
grassland,3,3,1.1,1.62,0.294,0.294,DMPP,cattle slurry,Halstow series,64,Dittert et al. 2001
grassland,3,3,1.126,3.882,0.96,4.579,DCD,U,Gleysol,100,Dobbie & Smith 2003
grassland,3,3,4.94,9.189,2.651,7.469,DCD,U,Gleysol,100,Dobbie & Smith 2003
paddy,3,3,0.051,0.107,0.007,0.005,DCD,U,Typic Ustochrept,120,Ghosh et al. 2003
paddy,3,3,0.052,0.096,0.004,0.005,DCD,AS,Typic Ustochrept,120,Ghosh et al. 2003
paddy,3,3,0.107,0.119,0.007,0.013,DCD,PN,Typic Ustochrept,120,Ghosh et al. 2003
upland,3,3,0.211,6.917,0.09,1.097,DCD,U,Ultisol,90,Hadi et al. 2008
upland,3,3,1.06,1.87,,,DCD,U,Haplusterts,90,Jumadi et al. 2008
grassland,3,3,3.52,6.25,0.351,0.325,DCD,urine,yellow-red Sudsol,1000,Kelly et al. 2008
grassland,3,3,3.72,4.99,0.43,0.245,DCD,urine,yellow-red Sudsol,1000,Kelly et al. 2008
paddy,4,4,0.142,0.16,0.035,0.053,DCD,U,Typic Ustochrept,140,Kumar et al. 2000
paddy,4,4,0.147,0.16,0.024,0.053,thiosulphate,U,Typic Ustochrept,140,Kumar et al. 2000
paddy,4,4,0.174,0.235,0.019,0.029,DCD,AS,Typic Ustochrept,140,Kumar et al. 2000
upland,8,8,1.271,1.429,,,DCD,AS,Brown earth soil,160,Linzmeier et al. 2001
upland,8,8,1.213,1.429,,,DMPP,AS,Brown earth soil,160,Linzmeier et al. 2001
upland,8,8,0.926,1.157,,,DMPP,AN,Brown earth soil,160,Linzmeier et al. 2001
grassland,4,4,0.715,1.242,0.048,0.234,DCD,AN,,80,Macadam et al. 2003
grassland,4,4,0.488,1.225,0.08,0.191,DCD,cattle slurry,,85,Macadam et al. 2003
grassland,4,4,3.167,7.519,0.161,0.744,DMPP,cattle slurry,,125,Macadam et al. 2003
grassland,4,4,1.143,2.938,0.023,0.18,DMPP,cattle slurry,,125,Macadam et al. 2003
fallow,3,3,0.051,0.048,,,nitrapyrin,AA,,60,Magalhaes et al. 1984
fallow,3,3,0.05,0.054,,,nitrapyrin,AA,,80,Magalhaes et al. 1984
fallow,3,3,0.034,0.071,0.001,0.004,nitrapyrin,AA,,80,Magalhaes et al. 1984
paddy,4,4,0.049,0.06,0.011,0.005,DCD,U,Typic Ustochrept,140,Majumdar et al. 2000
paddy,4,4,0.057,0.06,0.007,0.005,neem,U,Typic Ustochrept,140,Majumdar et al. 2000
paddy,4,4,0.053,0.06,0.005,0.005,neem,U,Typic Ustochrept,140,Majumdar et al. 2000
upland,4,4,1.09,1.43,0.21,0.16,DCD,U,Typic Ustochrept,120,Majumdar et al. 2002
upland,4,4,1,1.43,0.1,0.16,neem,U,Typic Ustochrept,120,Majumdar et al. 2002
upland,4,4,1.36,1.43,0.19,0.16,neem,U,Typic Ustochrept,120,Majumdar et al. 2002
upland,4,4,1.19,1.43,0.12,0.16,thiosulphate,U,Typic Ustochrept,120,Majumdar et al. 2002
paddy,3,3,0.68,0.76,,,neem,U,Typic Ustochrept,120,Malla et al. 2005
paddy,3,3,0.5,0.76,,,thiosulphate,U,Typic Ustochrept,120,Malla et al. 2005
