study_id,reference,ecosystem,method,time1,time2,temperature,duration,LnR_m,mean_trt,mean_ctrl,SD_trt,SD_ctrl,N_trt,N_ctrl,n,lnR,vt,vc,v,vn,w,lnRi
1,Xu et al. 2012,1,1,1,1,0.6,5,-0.140112769,10.95,7.37,2.28,4.24,6,1,2,0.39592175,0.007225871,0.330976179,0.33820205,0.676404099,1.478406179,0.585333162
1,,1,1,1,1,0.6,5,-0.093818755,28.29,18.1,4.55,8.5,6,1,2,0.446596447,0.004311274,0.220536614,0.224847888,0.449695776,2.22372558,0.993107943
3,Dawes et al. 2011,1,3,1,2,3.9,3,-0.172233866,12.54,8.69,8.28,4.69,20,20,2,0.366750596,0.021798951,0.014563848,0.036362799,0.072725599,13.75031646,5.042936756
3,,1,3,1,2,3.1,27,-0.085692258,12.68,7.53,10.95,7.36,20,20,2,0.521130907,0.037287197,0.047767848,0.085055045,0.170110091,5.87854604,3.063492031
4,Larsen et al. 2011,2,5,2,1,1.5,18,,0.52,0.41,0.6,0.52,6,6,1,0.230451745,0.222548366,0.266038576,0.488586941,0.488586941,2.046718639,0.471669881
5,Ma et al. 2011,3,2,1,1,1.8,12,-0.15116534,20.19,19.77,1.75,2.21,6,6,3,0.021021795,0.001252138,0.002082668,0.003334806,0.010004417,99.95585069,2.101251417
5,,3,2,1,1,1.8,24,-0.122456885,20.28,19.97,1.94,1.29,6,6,3,0.015404031,0.001525163,0.00069546,0.002220623,0.006661869,150.1080265,2.312268739
5,,3,2,1,1,1.8,36,-0.133348677,20.89,20.47,2.21,2.03,6,6,3,0.020310176,0.001865333,0.001639099,0.003504432,0.010513296,95.11764867,1.931856175
7,Rui et al. 2011,3,2,1,2,1.45,39,-0.42658925,27.28,29.51,4.8,2.39,4,4,3,-0.078575356,0.007739872,0.001639825,0.009379696,0.028139088,35.53775409,-2.792391678
7,,3,2,1,2,1.45,2,,125.73,128.67,18.96,28.45,4,4,3,-0.023114237,0.00568511,0.012222216,0.017907325,0.053721976,18.61435614,-0.430256632
7,,3,2,1,2,1.45,3,,78.76,59.34,19.5,13.05,4,4,3,0.283121639,0.015324906,0.012091104,0.02741601,0.082248029,12.15834607,3.442290866
8,Xiong et al. 2010,1,2,1,3,6.7,2,-0.011430176,125.73,128.67,18.96,28.45,4,4,4,-0.023114237,0.00568511,0.012222216,0.017907325,0.071629302,13.9607671,-0.322692474
8,,1,2,1,3,6.7,3,-0.428302428,78.76,59.34,19.5,13.05,4,4,4,0.283121639,0.015324906,0.012091104,0.02741601,0.109664039,9.118759554,2.58171815
8,,1,2,1,3,6.7,5,-0.30492404,72.3,59.21,30.27,13.46,4,4,4,0.199733683,0.043821603,0.01291933,0.056740933,0.226963732,4.405990291,0.880024666
7,,3,2,1,2,1.45,5,,72.3,59.21,30.27,13.46,4,4,4,0.199733683,0.043821603,0.01291933,0.056740933,0.226963732,4.405990291,0.880024666
9,Malchair et al. 2010,3,4,1,1,3,16,,1.31,0.12,1,0.29,6,6,3,2.390290673,0.097915499,0.999600167,1.097515666,3.292546997,0.303716242,0.7259701
9,,3,4,1,1,3,16,,1.75,0.72,1.25,1.2,6,6,3,0.888119855,0.084896654,0.462970679,0.547867333,1.643602,0.6084198,0.540349705
9,,3,4,1,1,3,28,,1.62,1.78,1.13,0.17,6,6,3,-0.094187215,0.080595715,0.001545904,0.082141619,0.246424857,4.058032188,-0.38221475
10,Chen et al. 2010,1,2,2,1,4.19,20,,6.21,3.09,0.7,0.3,5,5,2,0.699281179,0.002567041,0.001912887,0.004479928,0.008959856,111.6089369,78.04602894
10,,1,2,2,1,4.19,25,,3.85,2.95,0.15,0.1,5,5,2,0.267884537,0.000303435,0.000230444,0.000533878,0.001067757,936.5428745,250.8853541
11,Patil et al. 2010,4,3,1,1,5,2,-0.007205945,49.94,42.1,39.92,35.48,8,8,6,0.170836913,0.079863289,0.088786489,0.168649778,1.011898668,0.988241246,0.168828083
11,,4,3,1,1,5,4,-0.009105567,31.51,21.31,10.51,10.51,8,8,6,0.390958817,0.013913832,0.030418754,0.044332586,0.265995514,3.759461893,1.469794775
11,,4,3,1,1,5,5,-0.009026935,45.66,37.99,11.65,12.86,8,8,6,0.18380636,0.008145448,0.014324419,0.022469867,0.134819204,7.417340956,1.363354439
11,,4,3,1,1,5,8,-0.026770273,64.02,46.28,19.35,14.09,8,8,6,0.324396725,0.011426377,0.011592507,0.023018884,0.138113304,7.240432091,2.348772457
11,,4,3,1,1,5,9,-0.018877491,56.93,34.96,21.45,12.79,8,8,6,0.487715653,0.017743515,0.016745925,0.034489441,0.206936643,4.832396934,2.356835626
11,,4,3,1,1,5,10,,56.18,37.24,15.14,12.2,8,8,6,0.411082251,0.009079933,0.013404073,0.022484006,0.134904038,7.412676538,3.047219757
12,Allison et al. 2010,1,4,1,2,1.2,12,-0.174155005,72.9,59.4,87.9,98.66,10,10,1,0.204794413,0.145386035,0.275873086,0.421259121,0.421259121,2.373835842,0.486148317
13,Dijkstra et al. 2010,3,2,1,1,2.25,4,-0.088009523,0.38,0.3,0.11,0.09,5,5,6,0.236388778,0.017311967,0.017776697,0.035088664,0.210531982,4.749872162,1.122816476
