study_id,Species,Family,Form,biome,type,Trait,trichome,Damage,Herbivore,Ontogeny,N_ctrl,mean_ctrl,SD_ctrl,N_trt,mean_trt,SD_trt,lnR,Var(lnR)
Abdala-Roberts and Parra-Table (2005),Cnidoscolusaconitifolius,Euphorbiaceae,shrub,tropic,physical,trichomes,nonglandular,mechanical,na,mature,24,1.14,0.489897949,24,1.47,0.783836718,0.254234138,0.019541591
Agrawal (1999),Raphanussativus,Brassicaceae,annual,temperate,physical,trichomes,nonglandular,herbivore,insect,juvenile,12,26,16.70771023,12,37.68,19.92926219,0.371032912,0.057723677
Agrawal (2000),Lepidiumvirginicum,Brassicaceae,annual,temperate,chemistry,chemistry,na,herbivore,insect,juvenile,9,21.33,7.176,9,29.78,8.439,0.333722495,0.021498518
Agrawal (2000),Lepidiumvirginicum,Brassicaceae,annual,temperate,physical,trichomes,nonglandular,herbivore,insect,juvenile,12,25.26315789,4.375707303,12,41.26315789,8.751414607,0.490622917,0.006248438
Barton (2014),Argemoneglauca,Papaveraceae,perennial,tropic,physical,prickles,na,mechanical,na,juvenile,20,30.93,15.80005633,23,28.66,12.95450011,-0.076224164,0.021930534
Baur et al. (1991),Alnusincana,Betulaceae,tree,temperate,physical,trichomes,nonglandular,herbivore,insect,juvenile,11,0.364583333,0.340277778,12,2.591385646,0.250117776,1.961192862,0.079968245
Bazely et al. (1991),Rubusfruticosus,Rosaceae,shrub,temperate,physical,prickles,na,mechanical,na,juvenile,6,3.64,1.258103681,6,7.94,2.97369961,0.779929594,0.043288056
Bjorkman et al. (2008),Salixcinerea,Salicaceae,shrub,boreal,physical,trichomes,nonglandular,herbivore,insect,juvenile,48,3.972862327,4.102357237,48,8.280581455,9.377092613,0.734426366,0.048929714
Bjorkman et al. (2008),Salixcinerea,Salicaceae,shrub,boreal,physical,trichomes,nonglandular,mechanical,na,juvenile,48,3.972862327,4.102357237,48,4.715516415,6.450334332,0.171371612,0.061195638
Boughton et al. (2005),Lycopersiconesculentum,Solanaceae,annual,temperate,physical,trichomes,glandular,jasmonate,na,juvenile,9,1.1,0.6,9,9.4,2.7,2.145399509,0.042224895
Bryant et al. (1993),Betulaneoalaskana,Betulaceae,tree,boreal,chemistry,chemistry,na,mechanical,na,juvenile,10,1.240094673,0.327267542,10,4.700461765,0.841925104,1.332473026,0.010172833
Bryant et al. (1993),Betulaneoalaskana,Betulaceae,tree,boreal,nutrients,nutrients,na,mechanical,na,juvenile,10,3.034749035,0.330933915,10,1.827983634,0.141594522,-0.506915211,0.001789147
Bryant et al. (1993),Betulaneoalaskana,Betulaceae,tree,boreal,physical,toughness,na,mechanical,na,juvenile,10,5.316692758,0.615443472,10,5.798126827,0.41530302,0.086683457,0.001853008
Cooper et al. (2003),Prosopisglandulosa,Fabaceae,shrub,temperate,physical,prickles,na,mechanical,na,juvenile,15,0.21,0.1161895,15,0.27,0.077459667,0.251314428,0.025895132
Cooper et al. (2003),Senegaliaberlandieri,Fabaceae,shrub,temperate,physical,spines,na,mechanical,na,juvenile,15,0.43,0.464758002,15,0.76,0.348568501,0.569533225,0.091903481
Cooper et al. (2003),Senegaliagreggii,Fabaceae,shrub,temperate,physical,spines,na,mechanical,na,juvenile,15,0.65,0.503487835,15,0.75,0.193649167,0.143100844,0.044444444
Cooper et al. (2003),Vachelliaschaffneri,Fabaceae,shrub,temperate,physical,prickles,na,mechanical,na,juvenile,15,1.08,0.735866836,15,1.14,0.387298335,0.054067221,0.038644607
Dalin and Bjorkman (2003),Salixcinerea,Salicaceae,shrub,boreal,physical,trichomes,nonglandular,herbivore,insect,juvenile,17,3.256944444,2.10450183,17,5.493055556,3.50750305,0.5226952,0.048543903
Dalin and Bjorkman (2003),Salixcinerea,Salicaceae,shrub,boreal,physical,trichomes,nonglandular,mechanical,na,juvenile,17,3.256944444,2.10450183,17,4.423611111,2.906216813,0.306166887,0.049949481
Dalin et al. (2004),Salixviminalis,Salicaceae,shrub,boreal,physical,trichomes,nonglandular,herbivore,insect,juvenile,20,9.92,3.922318636,20,13.02,5.558694172,0.271933715,0.016930538
Frederickson et al. (2013),Cordianodosa,Boraginaceae,tree,tropic,chemistry,chemistry,na,herbivore,insect,juvenile,11,0.716638889,0.193958474,11,0.738739899,0.221789296,0.030373823,0.014853409
Frederickson et al. (2013),Cordianodosa,Boraginaceae,tree,tropic,physical,toughness,na,herbivore,insect,juvenile,11,0.491093366,0.077087351,12,0.527308559,0.083196433,0.071151614,0.004314415
Frederickson et al. (2013),Cordianodosa,Boraginaceae,tree,tropic,physical,trichomes,nonglandular,herbivore,insect,juvenile,11,12.43813268,4.917077029,13,18.72698545,6.441977164,0.409198586,0.023309751
Gibson et al. (1993),Rubusvestitus,Rosaceae,shrub,temperate,physical,prickles,na,mechanical,na,juvenile,12,20.90711363,2.940449566,12,22.11819551,2.716084966,0.05631113,0.002905009
Gomez and Zamora (2002),Hormathophyllaspinosa,Brassicaceae,shrub,temperate,physical,thorns,na,herbivore,mammal,mature,20,25,12.48037941,20,42.79,10.40031617,0.537428606,0.015414572
Gonzales et al. (2008),Madiasativa,Asteraceae,annual,temperate,physical,trichomes,glandular,mechanical,na,mature,35,3.620469083,1.438023657,35,4.452025586,1.438023657,0.206755582,0.007488394
Gonzales et al. (2008),Madiasativa,Asteraceae,annual,temperate,physical,trichomes,nonglandular,mechanical,na,mature,35,2.36,1.330483458,35,2.69,1.013236852,0.130879575,0.013134537
Gowda (1997),Vachelliatortilis,Fabaceae,tree,tropic,chemistry,chemistry,na,mechanical,na,juvenile,12,1.18,0.554256258,12,1.19,0.519615242,0.008438869,0.03427423
Gowda (1997),Vachelliatortilis,Fabaceae,tree,tropic,nutrients,nutrients,na,mechanical,na,juvenile,12,2.98,0.796743371,12,3.12,0.623538291,0.045909701,0.009285341
Gowda (1997),Vachelliatortilis,Fabaceae,tree,tropic,physical,spines,na,mechanical,na,juvenile,12,8.2,37.06588728,12,17.5,33.60178567,0.758066727,2.009939375
Hattori et al. (2004),Quercusdentata,Fagaceae,tree,temperate,physical,toughness,na,mechanical,na,mature,5,6.66,0.68084567,5,7.03,0.670226474,0.054067221,0.003908026
Hattori et al. (2004),Quercusmongolica,Fagaceae,tree,temperate,physical,toughness,na,mechanical,na,mature,5,5.63,0.809848169,5,6.26,0.622467505,0.106070743,0.006115777
Herrera and Bazaga (2013),Ilexaquifolium,Aquifoliaceae,shrub,temperate,physical,prickles,na,herbivore,mammal,mature,13,19.2,9.013878189,27,76.2,21.30422493,1.378451184,0.019849271
Hoan et al. (2014),Argemoneglauca,Papaveraceae,perennial,tropic,physical,prickles,na,jasmonate,na,juvenile,9,8.99,4.524,8,13.679,7.32845468,0.419748962,0.064015184
Hoan et al. (2014),Argemoneglauca,Papaveraceae,perennial,tropic,physical,toughness,na,jasmonate,na,juvenile,9,0.004339,0.000438,8,0.00393,0.000420304,-0.099004481,0.002561932
Hoan et al. (2014),Argemonemexicana,Papaveraceae,perennial,tropic,physical,prickles,na,jasmonate,na,juvenile,7,0.3567,0.270131209,9,0.603,0.348,0.525022104,0.118937221
Hoan et al. (2014),Argemonemexicana,Papaveraceae,perennial,tropic,physical,toughness,na,jasmonate,na,juvenile,7,0.0028356,0.001576868,9,0.003883,0.0015186,0.314354496,0.061172203
Holeski (2007),Mimulusguttatus,Phrymaceae,annual,temperate,physical,trichomes,glandular,mechanical,na,juvenile,7,1.697127937,0.362668261,7,2.291122715,0.224508923,0.300104592,0.007895411
Kariyat et al. (2013),Solanumcarolinense,Solanaceae,perennial,temperate,physical,spines,na,herbivore,insect,unknown,36,10.34313725,2.941176471,36,15.6372549,4.117647059,0.41333297,0.004172213
Kariyat et al. (2013),Solanumcarolinense,Solanaceae,perennial,temperate,physical,spines,na,mechanical,na,unknown,36,10.34313725,2.941176471,36,11.12745098,2.647058824,0.073091884,0.003818061
Kariyat et al. (2013),Solanumcarolinense,Solanaceae,perennial,temperate,physical,trichomes,nonglandular,herbivore,insect,unknown,36,102.0408163,25.51020408,36,203.2312925,56.12244898,0.688971809,0.003854421
Kariyat et al. (2013),Solanumcarolinense,Solanaceae,perennial,temperate,physical,trichomes,nonglandular,mechanical,na,unknown,36,102.0408163,25.51020408,36,148.9667719,56.33775442,0.378350381,0.005709104
Kjaer et al. (2012),Artemesiaannua,Asteraceae,annual,temperate,physical,trichomes,glandular,jasmonate,na,mature,9,37.05435147,8.819654363,9,32.57216425,10.42322788,-0.128927727,0.017672877
Kjaer et al. (2012),Artemesiaannua,Asteraceae,annual,temperate,physical,trichomes,glandular,mechanical,na,mature,9,37.05435147,8.819654363,9,32.08500268,8.819278467,-0.143997079,0.014689779
Kobayashi et al. (2010),Chlorisgayana,Poaceae,grass,temperate,physical,prickles,na,jasmonate,na,juvenile,9,12.28021978,8.159340659,9,22.58241758,15.08241758,0.6091818,0.098614954
Kobayashi et al. (2010),Chlorisgayana,Poaceae,grass,temperate,physical,trichomes,nonglandular,jasmonate,na,juvenile,9,23.50746269,5.373134328,9,86.41791045,18.13432836,1.301877019,0.010697737
Kudo (1996),Quercusmongolica,Fagaceae,tree,temperate,nutrients,nutrients,na,mechanical,na,unknown,12,2.06322515,0.220913092,6,1.574105937,0.174441836,-0.270582913,0.003002195
Kudo (1996),Quercusmongolica,Fagaceae,tree,temperate,physical,toughness,na,mechanical,na,unknown,48,7.133167945,0.139978762,24,8.298586572,0.171066845,0.15132976,2.57E-05
Liu et al. (2009),Artemesiaannua,Asteraceae,annual,temperate,chemistry,chemistry,na,jasmonate,na,unknown,7,3.65,0.13,7,6.18,0.29,0.526591104,0.000495791
Liu et al. (2009),Artemesiaannua,Asteraceae,annual,temperate,physical,trichomes,glandular,jasmonate,na,unknown,7,41.7,1.9,7,86.6,3.7,0.730798687,0.000557354
Liu et al. (2010),Schimasuperba,Theaceae,tree,subtropic,chemistry,chemistry,na,mechanical,na,juvenile,15,48.01526718,9.362173483,15,53.1043257,7.883935565,0.100739362,0.004003948
Liu et al. (2010),Schimasuperba,Theaceae,tree,subtropic,nutrients,nutrients,na,mechanical,na,juvenile,15,2,0.134409448,15,1.93,0.144365703,-0.035627178,0.00067411
Liu et al. (2010),Schimasuperba,Theaceae,tree,subtropic,nutrients,nutrients,na,mechanical,na,juvenile,15,61.47651458,8.711798998,15,52.74878075,11.49957468,-0.153114567,0.004507224
