Case,study_id,Focal species,Associated species,Diet breadth ,Response ,FR,TR,N_trt,mean_trt,SD_trt,N_ctrl,mean_ctrl,SD_ctrl,yi,vi
58,Vehviläinen et al. (2006),Betula pendula,Pinus sylvestris,NA,Damage,50,51.41,8,0.82,0.18,5,1,0.15,-0.19,0.01
59,Vehviläinen et al. (2006),Betula pendula,Pinus sylvestris,NA,Damage,25,27.11,5,0.68,0.17,5,1,0.15,-0.39,0.02
60,Vehviläinen et al. (2006),Betula pendula,Pinus sylvestris,Monophagous,Damage,50,51.41,8,1.96,0.98,5,4.29,1.63,-0.78,0.06
61,Vehviläinen et al. (2006),Betula pendula,Pinus sylvestris,Monophagous,Damage,25,27.11,5,2.5,1.01,5,4.29,1.63,-0.54,0.06
62,Vehviläinen et al. (2006),Betula pendula,Pinus sylvestris,Monophagous,Damage,50,51.41,8,0.36,0.13,5,0.54,0.11,-0.41,0.03
63,Vehviläinen et al. (2006),Betula pendula,Pinus sylvestris,Monophagous,Damage,25,27.11,5,0.36,0.11,5,0.54,0.11,-0.41,0.03
76,Vehviläinen et al. (2007),Betula pendula,Pinus sylvestris,NA,Abundance,50,51.41,2,4.6,0.99,2,2.58,0.86,0.58,0.08
77,Vehviläinen et al. (2007),Betula pendula,Pinus sylvestris,NA,Abundance,25,27.11,2,2.26,0.75,2,2.58,0.86,-0.13,0.11
78,Vehviläinen et al. (2007),Betula pendula,Pinus sylvestris,NA,Abundance,50,51.41,3,3.26,0.87,6,5.74,0.68,-0.57,0.03
79,Vehviläinen et al. (2007),Betula pendula,Pinus sylvestris,NA,Abundance,25,27.11,3,3.61,0.68,3,5.74,0.68,-0.46,0.02
80,Vehviläinen et al. (2007),Betula pendula,Pinus sylvestris,NA,Damage,50,51.41,8,11.23,3.38,5,11.41,1.94,-0.02,0.02
81,Vehviläinen et al. (2007),Betula pendula,Pinus sylvestris,NA,Damage,25,27.11,5,7.04,1.17,5,11.41,1.94,-0.48,0.01
22,Smith et al. (1989),Eucalyptus botryoides,Acacia longifolia,Monophagous,Damage,34,39.2,3,17.7,5.2,3,81.3,5.02,-1.52,0.03
1,Greaves (1966),Eucalyptus regnans,Acacia dealbata,Monophagous,Damage,50,53.94,2,7.6,5.8,2,9.25,7,-0.2,0.58
2,Greaves (1966),Eucalyptus regnans,Acacia dealbata,Monophagous,Damage,2,9.71,2,3.9,2.26,2,9.25,7,-0.86,0.45
44,Nichols et al. (1999),Milicia excelsa,Terminalia superba,Monophagous,Abundance,50,53.94,2,11.36,14.13,2,12.26,9.17,-0.08,1.05
