S.No,study_id,Publication,Phytopathogen,Plants,Plant species,Plant family,Life style,Microbial species,Types of microbes,Microbial richness,Method of application,Experimental condition,Experimental duration,Response variable,Unit,N_ctrl,mean_ctrl,SD_ctrl,N_trt,mean_trt,SD_trt,R,lnR,Var(lnR)
1,1,Abo-Elyousr et al. 2012,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Single,Foliar spray,Field condition,15DAI,Wilt severity,%,4,56,2.484,4,52,2.688,0.928571429,-0.071715309,0.001159913
2,1,Abo-Elyousr et al. 2012,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Co-inoculation,Foliar spray,Field condition,15DAI,Wilt severity,%,4,56,2.484,4,50,2.688,0.892857143,-0.074107972,0.001214423
3,1,Abo-Elyousr et al. 2012,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Single,Soil drench,Field condition,15DAI,Wilt severity,%,4,56,2.484,4,45,2.688,0.803571429,-0.084811847,0.001383907
4,1,Abo-Elyousr et al. 2012,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Co-inoculation,Soil drench,Field condition,15DAI,Wilt severity,%,4,56,2.484,4,45,2.688,0.803571429,-0.090151097,0.001383907
5,1,Abo-Elyousr et al. 2012,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Single,Foliar spray,Green house,15DAI,Wilt severity,%,4,73,2.484,4,50,2.688,0.684931507,-0.10209787,0.001012
6,1,Abo-Elyousr et al. 2012,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Co-inoculation,Foliar spray,Green house,15DAI,Wilt severity,%,4,73,2.484,4,53,2.688,0.726027397,-0.103084966,0.000932519
7,1,Abo-Elyousr et al. 2012,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Single,Soil drench,Green house,15DAI,Wilt severity,%,4,73,2.484,4,42,2.688,0.575342466,-0.104783981,0.001313466
8,1,Abo-Elyousr et al. 2012,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Co-inoculation,Soil drench,Green house,15DAI,Wilt severity,%,4,73,2.484,4,40,2.688,0.547945205,-0.113328685,0.001418426
9,1,Abo-Elyousr et al. 2012,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Single,Foliar spray,Field condition,15DAI,Shoot dry weight,g,4,8.1,3.5151,4,7.9,3.9042,0.975308642,-0.025001302,0.108139999
10,1,Abo-Elyousr et al. 2012,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Co-inoculation,Foliar spray,Field condition,15DAI,Shoot dry weight,g,4,8.1,3.5151,4,10.3,3.9042,1.271604938,0.240279834,0.083000413
