study_id,replsite,repltime,gradient,envt.factor,amt.added,parts.removed,pulse.press,removal.method,herb.excluded,plot.size,genus,species,neighbor.form,target.form,neighbor.stage,target.stage,target.source,num.targets,comm.type,productivity,stand.crop,totalN,rainfall,census.day,response.var,resp.var.units,mean_ctrl,mean_trt,RCI,ACI,lnRR,N_ctrl,N_trt,n.index,var.meas,SD_ctrl,SD_trt,var.ctrl,var.rem,var.rci,n.censuses,n.respvar,n.taxa,use
8,none     ,yr1  ,nat-exptl,slope-ctrl     ,0 mm     ,all             ,once     ,pull     ,none        ,1,Stipa       ,capensis       ,annual         ,annual         ,sdlg           ,sdlg           ,natural  ,1,desert          , ,0.1, ,60,150,seeds    ,seeds/ind           ,3,2.6,-0.154,-0.4,-0.143,18,22, ,SE       ,2.969848481,2.34520788,0.7,0.5, ,1,4,1,no 
8,none     ,yr1  ,nat-exptl,slope+w        ,30 mm    ,all             ,once     ,pull     ,none        ,1,Stipa       ,capensis       ,annual         ,annual         ,sdlg           ,sdlg           ,natural  ,1,desert          , ,3, ,90,150,seeds    ,seeds/ind           ,26.6,342,0.922,315.4,2.554,28,26, ,SE       ,24.34091206,23.96539171,4.6,4.7, ,1,4,1,no 
8,none     ,yr1  ,nat-exptl,slope+w        ,80 mm    ,all             ,once     ,pull     ,none        ,1,Stipa       ,capensis       ,annual         ,annual         ,sdlg           ,sdlg           ,natural  ,1,desert          , ,14.7, ,140,150,seeds    ,seeds/ind           ,50.1,132.5,0.622,82.4,0.973,28,31, ,SE       ,33.86561678,108.0146286,6.4,19.4, ,1,4,1,no 
8,none     ,yr1  ,nat-exptl,depr-ctrl      ,0 mm     ,all             ,once     ,pull     ,none        ,1,Stipa       ,capensis       ,annual         ,annual         ,sdlg           ,sdlg           ,natural  ,1,desert          , ,26.5, ,60,150,seeds    ,seeds/ind           ,8.9,24.7,0.64,15.8,1.021,29,30, ,SE       ,9.154780172,20.81345719,1.7,3.8, ,1,4,1,no 
8,none     ,yr1  ,nat-exptl,depr+w         ,30 mm    ,all             ,once     ,pull     ,none        ,1,Stipa       ,capensis       ,annual         ,annual         ,sdlg           ,sdlg           ,natural  ,1,desert          , ,87.9, ,90,150,seeds    ,seeds/ind           ,17,117.7,0.856,100.7,1.935,24,29, ,SE       ,14.20704051,79.70043915,2.9,14.8, ,1,4,1,no 
8,none     ,yr1  ,nat-exptl,depr+w         ,80 mm    ,all             ,once     ,pull     ,none        ,1,Stipa       ,capensis       ,annual         ,annual         ,sdlg           ,sdlg           ,natural  ,1,desert          , ,176.5, ,140,150,seeds    ,seeds/ind           ,25.9,343.4,0.925,317.5,2.585,29,31, ,SE       ,33.3880218,301.216052,6.2,54.1, ,1,4,1,no 
8,none     ,yr1  ,nat-exptl,wadi-ctrl      ,0 mm     ,all             ,once     ,pull     ,none        ,1,Stipa       ,capensis       ,annual         ,annual         ,sdlg           ,sdlg           ,natural  ,1,desert          , ,429.4, ,60,150,seeds    ,seeds/ind           ,16.9,464.3,0.964,447.4,3.313,55,63, ,SE       ,21.50697561,273.8352607,2.9,34.5, ,1,4,1,no 
8,none     ,yr1  ,nat-exptl,wadi+w         ,30 mm    ,all             ,once     ,pull     ,none        ,1,Stipa       ,capensis       ,annual         ,annual         ,sdlg           ,sdlg           ,natural  ,1,desert          , ,579.7, ,90,150,seeds    ,seeds/ind           ,13.6,975.5,0.986,961.9,4.273,29,30, ,SE       ,12.92439554,483.0912957,2.4,88.2, ,1,4,1,no 
8,none     ,yr1  ,nat-exptl,wadi+w         ,80 mm    ,all             ,once     ,pull     ,none        ,1,Stipa       ,capensis       ,annual         ,annual         ,sdlg           ,sdlg           ,natural  ,1,desert          , ,777.5, ,140,150,seeds    ,seeds/ind           ,17.8,1514.7,0.988,1496.9,4.444,31,30, ,SE       ,15.58974022,868.6879762,2.8,158.6, ,1,4,1,no 
8,none     ,yr2  ,nat-exptl,slope          ,0 mm     ,all             ,once     ,pull     ,none        ,1,Stipa       ,capensis       ,annual         ,annual         ,sdlg           ,sdlg           ,natural  ,1,desert          , ,0.1, ,82,150,seeds    ,seeds/ind           ,17.8,45.5,0.609,27.7,0.939,29,13, ,SE       ,21.00214275,20.9121974,3.9,5.8, ,1,4,1,no 
