Species,study_id,style,Control Day T (mean),Control Night T (mean),Control Whole-day T (mean),Increased Day T (mean),Increased Night T (mean),Increased Whole-day T (mean),DDay T,DNight T,DWhole-day T,T Position,Facility,Exposed time,Other Treatment,pot or field,Latitude,Longitude,Elevation(m),mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,Unit
*,Campbell et al. 2007,day/night,*,*,7,*,*,21,*,*,14,air,*,10 days,*,pot,*,*,*,4.0667,15.9333,0.1549,0.3271,15,15,mmol m-2 s-1
*,Campbell et al. 2007,day/night,*,*,7,*,*,21,*,*,14,air,*,1 month,*,pot,*,*,*,11.0667,15.2,0.4131,0.4131,15,15,mmol m-2 s-1
Abies faxoniana,Yin 2008,day/night,*,*,11.52,*,*,*,*,*,0.51,air,open-top chamber,18 months,*,field,31°35′N,102°35′E,3110,2.14,2.34,0.0474,0.0538,10,10,μmol m-2 s-1
Abies faxoniana,Yin 2008,day/night,*,*,10.92,*,*,*,*,*,0.69,air,open-top chamber,18 months,light,field,31°35′N,102°35′E,3110,1.95,2.03,0.0474,0.0443,10,10,μmol m-2 s-1
Acacia aneura,Loveys 2002,day/night,*,*,23,*,*,28,*,*,5,air,growth cabinet,14days,*,pot,*,*,*,136.9231,143.0769,4.6154,5.3846,4,4,nmol g-1 s-1
Acacia melanoxylon,Loveys 2002,day/night,*,*,18,*,*,23,*,*,5,air,growth cabinet,14days,*,pot,*,*,*,256.135,355.8282,5.3681,7.6687,4,4,nmol g-1 s-1
Acacia melanoxylon,Loveys 2002,day/night,*,*,18,*,*,28,*,*,10,air,growth cabinet,14days,*,pot,*,*,*,256.135,380.3681,5.3681,8.4356,4,4,nmol g-1 s-1
Acer saccharum,Gunderson 2000,day/night,*,*,26,*,*,*,*,*,3.6,air,open-top chamber,1 year,*,field,*,*,*,3.8793,4.4397,0.1493,0.1244,12,12,μmol m-2 s-1
Acer saccharum,Gunderson 2000,day/night,*,*,26,*,*,*,*,*,3.6,air,open-top chamber,1 year,*,field,*,*,*,6.5948,5.6034,0.1369,0.1493,12,12,μmol m-2 s-1
Acer saccharum,Gunderson 2000,day/night,*,*,26,*,*,*,*,*,3.6,air,open-top chamber,1 year,*,field,*,*,*,5.7328,4.7414,0.1369,0.0871,12,12,μmol m-2 s-1
Acer saccharum,Gunderson 2000,day/night,*,*,26,*,*,*,*,*,3.6,air,open-top chamber,1 year,*,field,*,*,*,5.0431,3.1466,0.0871,0.0995,12,12,μmol m-2 s-1
Acer saccharum,Gunderson 2000,day/night,*,*,26,*,*,*,*,*,3.6,air,open-top chamber,2 years,*,field,*,*,*,3.4483,3.1034,0.0498,0.0373,12,12,μmol m-2 s-1
Acer saccharum,Gunderson 2000,day/night,*,*,26,*,*,*,*,*,3.6,air,open-top chamber,2 years,*,field,*,*,*,6.8534,6.8534,0.0249,0.0249,12,12,μmol m-2 s-1
Acer saccharum,Gunderson 2000,day/night,*,*,26,*,*,*,*,*,3.6,air,open-top chamber,2 years,*,field,*,*,*,6.9397,5.5172,0.1369,0.1244,12,12,μmol m-2 s-1
Acer saccharum,Gunderson 2000,day/night,*,*,26,*,*,*,*,*,3.6,air,open-top chamber,2 years,*,field,*,*,*,8.75,7.8017,0.1369,0.1244,12,12,μmol m-2 s-1
