Species,study_id,T_ style,Control Day T (mean),Control Night T (mean),Control Whole-day T (mean),Increased Day T (mean),Increased Night T (mean),Increased Whole-day T (mean),_Day T,_Night T,_Whole-day T,T Position,Facility,Exposed time(d),Other Treatment,pot or field,Latitude,Longitude,Elevation(m),mean_ctrl,mean_trt,SD_ctrl,SD_trt,Sc,Se,N_ctrl,N_trt,Unit
NA,Campbell et al. 2007,day/night,NA,NA,7,NA,NA,21,NA,NA,14,air,NA,10 days,NA,pot,NA,NA,NA,0.5676,1.1459,0.272270729,0.43958361,0.0703,0.1135,15,15,mmol m-2 s-1
NA,Campbell et al. 2007,day/night,NA,NA,7,NA,NA,21,NA,NA,14,air,NA,1 month,NA,pot,NA,NA,NA,0.9676,1.2811,0.690940229,0.795510779,0.1784,0.2054,15,15,mmol m-2 s-1
Abies faxoniana,Yin2008,day/night,NA,NA,11.52,NA,NA,NA,NA,NA,0.51,air,open-top chamber,18 months,NA,field,31?35_N,102?35_E,3110,0.27,0.29,0.09486833,0.09486833,0.03,0.03,10,10,_mol m-2 s-1
Abies faxoniana,Yin2008,day/night,NA,NA,10.92,NA,NA,NA,NA,NA,0.69,air,open-top chamber,18 months,light,field,31?35_N,102?35_E,3110,0.92,0.96,0.284604989,0.316227766,0.09,0.1,10,10,_mol m-2 s-1
Acacia aneura,Loveys 2002,day/night,NA,NA,23,NA,NA,28,NA,NA,5,air,growth cabinet,14days,NA,pot,NA,NA,NA,15.2,15.68,2.56,0.96,1.28,0.48,4,4,nmol g-1 s-1
Acacia melanoxylon,Loveys 2002,day/night,NA,NA,18,NA,NA,23,NA,NA,5,air,growth cabinet,14days,NA,pot,NA,NA,NA,16.16,27.04,2.88,1.92,1.44,0.96,4,4,nmol g-1 s-1
Acacia melanoxylon,Loveys 2002,day/night,NA,NA,18,NA,NA,28,NA,NA,10,air,growth cabinet,14days,NA,pot,NA,NA,NA,16.16,34.08,2.88,6.08,1.44,3.04,4,4,nmol g-1 s-1
Acer rubrum,Bauerle 2007,day/night,NA,NA,25,NA,NA,33,NA,NA,8,air,Chamber,NA,NA,field,NA,NA,NA,2.8,4.3,0.2,0.4,0.1,0.2,4,4,_mol m-2 s-1
Acer rubrum,Bauerle 2007,day/night,NA,NA,25,NA,NA,33,NA,NA,8,air,Chamber,NA,NA,field,NA,NA,NA,2.9,4.6,0.2,0.4,0.1,0.2,4,4,_mol m-2 s-1
Acer rubrum,Bauerle 2007,day/night,NA,NA,25,NA,NA,38,NA,NA,13,air,Chamber,NA,NA,field,NA,NA,NA,2.8,5.4,0.2,0.4,0.1,0.2,4,4,_mol m-2 s-1
Acer rubrum,Bauerle 2007,day/night,NA,NA,25,NA,NA,38,NA,NA,13,air,Chamber,NA,NA,field,NA,NA,NA,2.9,5.6,0.2,0.4,0.1,0.2,4,4,_mol m-2 s-1
Achillea millefolium,Loveys 2003,day/night,NA,NA,15,NA,NA,25,NA,NA,10,air,"phytotron, growth cabinet",<0.5,NA,pot,NA,NA,NA,44.4,84.1,33.3,38.7,11.1,12.9,9,9,nmol g-1 s-1
Achillea ptarmica,Loveys 2003,day/night,NA,NA,15,NA,NA,25,NA,NA,10,air,"phytotron, growth cabinet",<0.5,NA,pot,NA,NA,NA,50.4,79.3,38.7,44.1,12.9,14.7,9,9,nmol g-1 s-1
