study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),
Ambus & Robertson 1999,1,TIN,*,2A,A,2,45°34' N,84°40' W,USA,OTC,mg kg-1 soil,No,"Table 2; ""High"" N soil is locally excavated topsoil; only data from the last measurement (Jul 6)",*,No,Forest,Broadleaved,2.7,2.9,0.0447,0.2236,5,5,0.0715,0.0012,,2.7,2.9,0.0447,0.2236,5,5,0.0715,0.0012,,*,*,*,*,*,*,*,*
Andresen et al 2010 (Biogeochemistry),2,NH4+,*,510,*,2,55°53' N,11°58' E,Denmark,FACE,mg N g-1 SOM,No,Fig. 1,*,No,Grassland,*,51.6975,30.8642,68.0414,45.3609,6,6,-0.5158,0.6487,,51.6975,30.8642,68.0414,45.3609,6,6,-0.5158,0.6487,,*,*,*,*,*,*,*,*
Andresen et al 2010 (Biogeochemistry),3,NH4+,*,510,*,2,55°53' N,11°58' E,Denmark,FACE,mg N g-1 SOM,Drought,Fig. 1,*,No,Grassland,*,32.4074,32.4074,68.0414,41.5808,6,6,0,1.0091,,32.4074,32.4074,68.0414,41.5808,6,6,0,1.0091,,*,*,*,*,*,*,*,*
Andresen et al 2010 (Biogeochemistry),4,NH4+,*,510,*,2,55°53' N,11°58' E,Denmark,FACE,mg N g-1 SOM,Warming,Fig. 1,*,No,Grassland,*,38.5802,203.7037,41.5808,158.7632,6,6,1.6639,0.2948,,38.5802,203.7037,41.5808,158.7632,6,6,1.6639,0.2948,,*,*,*,*,*,*,*,*
Andresen et al 2010 (Biogeochemistry),5,NH4+,*,510,*,2,55°53' N,11°58' E,Denmark,FACE,mg N g-1 SOM,Drought + Warming,Fig. 1,*,No,Grassland,*,10.8025,14.6605,9.4502,20.7904,6,6,0.3054,0.4627,,10.8025,14.6605,9.4502,20.7904,6,6,0.3054,0.4627,,*,*,*,*,*,*,*,*
Arnone 1997,6,TIN,335,680,345,2,46°34N,8°25E,Switzerland,OTC,g N m-2,No,Fig. 1b,*,No,Grassland,sedge,12.8803,11.165,6.3649,5.7025,12,12,-0.1429,0.0421,,12.8803,11.165,6.3649,5.7025,12,12,-0.1429,0.0421,,*,*,*,*,*,*,*,*
Baggs et al. 2003,7,NH4+,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,Low Nitrogen,Table 3,*,Yes,Grassland,Lolium,6.5,9.5,1.0954,1.0954,3,3,0.3795,0.0139,,*,*,*,*,*,*,*,*,,6.5,9.5,1.0954,1.0954,3,3,0.3795,0.0139
Baggs et al. 2003,8,NH4+,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,Low Nitrogen,Table 3,*,Yes,Grassland,Lolium/Trifolium,7,7.5,2.1909,2.1909,3,3,0.069,0.0611,,*,*,*,*,*,*,*,*,,7,7.5,2.1909,2.1909,3,3,0.069,0.0611
Baggs et al. 2003,9,NH4+,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,Low Nitrogen,Table 3,*,Yes,Grassland,Trifolium,5.5,7.5,1.7321,1.7321,3,3,0.3102,0.0508,,*,*,*,*,*,*,*,*,,5.5,7.5,1.7321,1.7321,3,3,0.3102,0.0508
Baggs et al. 2003,10,NH4+,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,High Nitrogen,Table 3,*,Yes,Grassland,Lolium,11,14.5,2.4495,3.873,3,3,0.2763,0.0403,,*,*,*,*,*,*,*,*,,11,14.5,2.4495,3.873,3,3,0.2763,0.0403
Baggs et al. 2003,11,NH4+,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,High Nitrogen,Table 3,*,Yes,Grassland,Lolium/Trifolium,15,15.5,3.873,4.9598,3,3,0.0328,0.0564,,*,*,*,*,*,*,*,*,,15,15.5,3.873,4.9598,3,3,0.0328,0.0564
Baggs et al. 2003,12,NH4+,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,High Nitrogen,Table 3,*,Yes,Grassland,Trifolium,13,13.5,3.4641,3.873,3,3,0.0377,0.0511,,*,*,*,*,*,*,*,*,,13,13.5,3.4641,3.873,3,3,0.0377,0.0511
Baggs et al. 2003,13,NO3-,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,Low Nitrogen,Table 3,*,Yes,Grassland,Lolium,13,9.5,4.5166,4.5166,3,3,-0.3137,0.1156,,*,*,*,*,*,*,*,*,,13,9.5,4.5166,4.5166,3,3,-0.3137,0.1156
Baggs et al. 2003,14,NO3-,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,Low Nitrogen,Table 3,*,Yes,Grassland,Lolium/Trifolium,13.5,15,6.6182,7.3075,3,3,0.1054,0.1592,,*,*,*,*,*,*,*,*,,13.5,15,6.6182,7.3075,3,3,0.1054,0.1592
Baggs et al. 2003,15,NO3-,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,Low Nitrogen,Table 3,*,Yes,Grassland,Trifolium,20.5,21,6.0498,6.6633,3,3,0.0241,0.0626,,*,*,*,*,*,*,*,*,,20.5,21,6.0498,6.6633,3,3,0.0241,0.0626
Baggs et al. 2003,16,NO3-,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,High Nitrogen,Table 3,*,Yes,Grassland,Lolium,38.5,39.5,10.3923,13.704,3,3,0.0256,0.0644,,*,*,*,*,*,*,*,*,,38.5,39.5,10.3923,13.704,3,3,0.0256,0.0644
