study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Aranjuelo et al 2005,1,405,730,325,0.2,40.95° N,5.50° W,Spain,GC,g plant-1,No,Fig. 3,*,No,Grassland,Alfalfa,17.0588,20.1961,1.7059,2.0196,4,4,0.1688,0.005,,*,*,*,*,*,*,*,*,,15.45,23.85,2.8382,2.9288,5,5,0.4342,0.0098
Aranjuelo et al 2005,2,405,730,325,0.2,40.95° N,5.50° W,Spain,GC,g plant-1,Warming,Fig. 3,*,No,Grassland,Alfalfa,19.4118,26.4706,1.9412,2.6471,4,4,0.3102,0.005,,167.219,102.2058,16.7219,10.2206,5,5,-0.4923,0.004,,*,*,*,*,*,*,*,*
Aranjuelo et al 2005,3,405,730,325,0.2,40.95° N,5.50° W,Spain,GC,g plant-1,Drought,Fig. 3,*,No,Grassland,Alfalfa,9.4118,9.0196,0.9412,0.9020,4,4,-0.0426,0.005,,381.832,358.2463,38.1832,35.8246,5,5,-0.0638,0.004,,*,*,*,*,*,*,*,*
Aranjuelo et al 2005,4,405,730,325,0.2,40.95° N,5.50° W,Spain,GC,g plant-1,Drought + Warming,Fig. 3,*,No,Grassland,Alfalfa,9.8039,13.7255,0.9804,1.3725,4,4,0.3365,0.005,,867.6687,1101.5625,86.7669,110.1563,5,5,0.2387,0.004,,*,*,*,*,*,*,*,*
Arnone & Gordon 1990,5,350,650,300,0.1,*,*,USA,GC,mg,Nitrogen,Table 1,*,Yes,Forest,Broadleaf,20.2000,43.3000,17.6649,27.1932,5,3,0.7625,0.2844,,0.6183,0.555,0.0725,0.0538,3,3,-0.108,0.0077,,*,*,*,*,*,*,*,*
Arnone & Gordon 1990,6,350,650,300,0.1,*,*,USA,GC,mg,Nodulation,Table 1,*,No,Forest,Broadleaf,70.2000,79.0000,20.5718,16.9941,5,5,0.1181,0.0264,,0.492,0.606,0.0468,0.0335,3,3,0.2084,0.004,,*,*,*,*,*,*,*,*
Arnone & Gordon 1990,7,350,650,300,0.1,*,*,USA,GC,mg,Nodulation + Nitrogen,Table 1,*,Yes,Forest,Broadleaf,118.3000,144.9000,50.5351,55.6781,5,5,0.2028,0.066,,19,17.8,14.207,11.2677,6,6,-0.0652,0.16,,*,*,*,*,*,*,*,*
Baslam et al. 2012,8,395,710,315,0.2,*,*,*,GC,g plant-1,No,Fig. 4a; average of 2nd and 3rd harvests,*,No,Cropland,Alfalfa,0.0319,0.0445,0.0032,0.0037,3,3,0.3329,0.0057,,21.5,17.9,17.3914,16.1666,6,6,-0.1833,0.245,,*,*,*,*,*,*,*,*
Baslam et al. 2012,9,395,710,315,0.2,*,*,*,GC,g plant-1,Mycorrhizal,Fig. 4a; average of 2nd and 3rd harvests,*,No,Cropland,Alfalfa,0.0334,0.0396,0.0046,0.0043,3,3,0.1703,0.0103,,29.9,18.7,30.1287,16.4116,6,6,-0.4693,0.2976,,*,*,*,*,*,*,*,*
Cabrerizo et al. 2001,10,360,1000,640,0.1,*,*,*,GC,mg plant-1,No,Table 1,*,No,Cropland,Pea,30,46,8,12,16,16,0.4274,0.0087,,36.4,25.6,20.0858,17.6363,6,6,-0.352,0.1298,,*,*,*,*,*,*,*,*
Feng & Flessa 2004,11,350,700,350,0.3,*,*,*,GC,mg,Nitrogen,Table 1,*,Yes,Forest,Black locust,91.7000,186.3000,60.1000,123.4000,6,6,0.7088,0.1447,,25.3012,26.506,6.2604,2.0868,3,3,0.0465,0.0225,,*,*,*,*,*,*,*,*
Hibbs et al. 1995,12,350,700,350,0.4,*,*,USA,GC,g,No,Table 1,*,No,Forest,Deciduous,0.1000,0.2000,0.0100,0.0200,16,16,0.6931,0.0012,,80.7229,100,16.6945,20.8681,3,3,0.2141,0.0288,,*,*,*,*,*,*,*,*
Hibbs et al. 1995,13,350,700,350,0.4,*,*,USA,GC,g,Drought,Table 1,*,No,Forest,Deciduous,0.2000,0.2000,0.0200,0.0200,16,16,0,0.0012,,7.2,6.6462,1.5665,1.6971,8,8,-0.08,0.0141,,*,*,*,*,*,*,*,*
Jin et al. 2012,14,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,No,Fig. 2a,0 mg P kg-1 soil,No,Cropland,Chickpea,31.5686,30.1961,3.1569,3.0196,4,4,-0.0445,0.005,,0.0572,0.2256,0.033,0.1525,3,4,1.3722,0.2252,,*,*,*,*,*,*,*,*
Jin et al. 2012,15,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,Phosphorus,Fig. 2a,2 mg P kg-1 soil,No,Cropland,Chickpea,71.3725,80.9804,7.1373,8.0980,4,4,0.1263,0.005,,0.0477,0.928,0.022,0.7754,3,4,2.9681,0.2454,,*,*,*,*,*,*,*,*
Jin et al. 2012,16,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,Phosphorus,Fig. 2a,4 mg P kg-1 soil,No,Cropland,Chickpea,123.5294,140.0000,12.3529,14.0000,4,4,0.1252,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,17,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,Phosphorus,Fig. 2a,8 mg P kg-1 soil,No,Cropland,Chickpea,146.8627,201.7647,14.6863,20.1765,4,4,0.3176,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,18,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,Phosphorus,Fig. 2a,16 mg P kg-1 soil,No,Cropland,Chickpea,226.4706,317.0588,22.6471,31.7059,4,4,0.3365,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,19,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,No,Fig. 2a,0 mg P kg-1 soil,No,Cropland,Field pea,8.2353,2.7451,0.8235,0.2745,4,4,-1.0986,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,20,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,Phosphorus,Fig. 2a,2 mg P kg-1 soil,No,Cropland,Field pea,13.7255,12.3529,1.3725,1.2353,4,4,-0.1054,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,21,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,Phosphorus,Fig. 2a,4 mg P kg-1 soil,No,Cropland,Field pea,13.7255,17.8431,1.3725,1.7843,4,4,0.2624,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,22,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,Phosphorus,Fig. 2a,8 mg P kg-1 soil,No,Cropland,Field pea,28.8235,28.8235,2.8824,2.8824,4,4,0,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,23,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,Phosphorus,Fig. 2a,16 mg P kg-1 soil,No,Cropland,Field pea,38.4314,53.5294,3.8431,5.3529,4,4,0.3314,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),24,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Fig. 2,Experiment 2; Vertosol,No,Cropland,Chickpea,75.2427,99.5146,7.5243,9.9515,4,4,0.2796,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),25,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,Phosphorus,Fig. 2,Experiment 2; Vertosol,No,Cropland,Chickpea,140.7767,199.0291,14.0777,19.9029,4,4,0.3463,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),26,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Fig. 2,Experiment 2; Calcarosol,No,Cropland,Chickpea,189.3204,271.8447,18.9320,27.1845,4,4,0.3618,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),27,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,Phosphorus,Fig. 2,Experiment 2; Calcarosol,No,Cropland,Chickpea,225.7282,325.2427,22.5728,32.5243,4,4,0.3652,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),28,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Fig. 2,Experiment 2; Vertosol,No,Cropland,Field pea,48.5437,67.9612,4.8544,6.7961,4,4,0.3365,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),29,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,Phosphorus,Fig. 2,Experiment 2; Vertosol,No,Cropland,Field pea,116.5049,148.0583,11.6505,14.8058,4,4,0.2397,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),30,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Fig. 2,Experiment 2; Calcarosol,No,Cropland,Field pea,264.5631,320.3883,26.4563,32.0388,4,4,0.1915,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),31,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,Phosphorus,Fig. 2,Experiment 2; Calcarosol,No,Cropland,Field pea,349.5146,305.8252,34.9515,30.5825,4,4,-0.1335,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),32,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Fig. 2,Experiment 2; Vertosol,No,Cropland,Barrel medic,133.4951,152.9126,13.3495,15.2913,4,4,0.1358,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),33,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,Phosphorus,Fig. 2,Experiment 2; Vertosol,No,Cropland,Barrel medic,228.1553,259.7087,22.8155,25.9709,4,4,0.1295,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),34,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Fig. 2,Experiment 2; Calcarosol,No,Cropland,Barrel medic,162.6214,201.4563,16.2621,20.1456,4,4,0.2141,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),35,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,Phosphorus,Fig. 2,Experiment 2; Calcarosol,No,Cropland,Barrel medic,228.1553,259.7087,22.8155,25.9709,4,4,0.1295,0.005,,,,,,,,,,,,,,,,,,
Nguyen et al. 2006,36,*,800,*,0.1,*,*,*,GC,mg plant-1,Fertillizer,Table 2,0.3 g N; 10 mg P,Yes,Forest,Acacia auriculiformi,0.8800,1.1400,0.0880,0.1140,8,8,0.2589,0.0025,,,,,,,,,,,,,,,,,,
Nguyen et al. 2006,37,*,800,*,0.1,*,*,*,GC,mg plant-1,Fertillizer,Table 2,0.3 g N; 50 mg P,Yes,Forest,Acacia auriculiformi,0.9900,1.0200,0.0990,0.1020,8,8,0.0299,0.0025,,,,,,,,,,,,,,,,,,
Nguyen et al. 2006,38,*,800,*,0.1,*,*,*,GC,mg plant-1,Fertillizer,Table 2,0.3 g N; 100 mg P,Yes,Forest,Acacia auriculiformi,1.3500,1.6300,0.1350,0.1630,8,8,0.1885,0.0025,,,,,,,,,,,,,,,,,,
Nguyen et al. 2006,39,*,800,*,0.1,*,*,*,GC,mg plant-1,Fertillizer,Table 2,0.3 g N; 10 mg P,Yes,Forest,Acacia magium,1.2200,1.5900,0.1220,0.1590,8,8,0.2649,0.0025,,,,,,,,,,,,,,,,,,
Nguyen et al. 2006,40,*,800,*,0.1,*,*,*,GC,mg plant-1,Fertillizer,Table 2,0.3 g N; 50 mg P,Yes,Forest,Acacia magium,1.4400,2.5100,0.1440,0.2510,8,8,0.5556,0.0025,,,,,,,,,,,,,,,,,,
Nguyen et al. 2006,41,*,800,*,0.1,*,*,*,GC,mg plant-1,Fertillizer,Table 2,0.3 g N; 100 mg P,Yes,Forest,Acacia magium,2.0600,1.9100,0.2060,0.1910,8,8,-0.0756,0.0025,,,,,,,,,,,,,,,,,,
Norby 1987,42,350,700,350,0.2,*,*,USA,GC,mg plant-1,No,Table 1,*,No,Forest,E. angustifolia,23.0000,44.0000,2.3000,4.4000,10,10,0.6487,0.002,,,,,,,,,,,,,,,,,,
Norby 1987,43,350,700,350,0.3,*,*,USA,GC,mg plant-1,No,Table 1,*,No,Forest,A. glutinosa,8.0000,36.0000,0.8000,3.6000,10,10,1.5041,0.002,,,,,,,,,,,,,,,,,,
Norby 1987,44,350,700,350,0.3,*,*,USA,GC,mg plant-1,No,Table 1,*,No,Forest,R. pseudoacacia,52.0000,94.0000,5.2000,9.4000,10,10,0.5921,0.002,,,,,,,,,,,,,,,,,,
Oikawa et al. 2010,45,384.7,593,208.3,0.3,39°44' N,141°7' E,Japan,GC,g plant-1,Fertillizer (nodulated),Fig. 4,0.3 g N,Yes,Cropland,Soybean,0.4932,0.6075,0.0956,0.0325,5,5,0.2084,0.0081,,,,,,,,,,,,,,,,,,
Oikawa et al. 2010,46,384.7,593,208.3,0.3,39°44' N,141°7' E,Japan,GC,g plant-1,Fertillizer (non-nodulated),Fig. 4,0.3 g N,Yes,Cropland,Soybean,0.0256,0.0290,0.0160,0.0145,5,5,0.1247,0.1281,,,,,,,,,,,,,,,,,,
Polley et al. 1997,47,385,690,305,1.1,*,*,*,GC,mg cm-3,No,Table 4,*,No,Forest,A. smallii,0.0640,0.0960,0.0064,0.0096,3,3,0.4055,0.0067,,,,,,,,,,,,,,,,,,
Polley et al. 1997,48,385,980,595,1.1,*,*,*,GC,mg cm-3,No,Table 4,*,No,Forest,A. smallii,0.0640,0.1690,0.0064,0.0169,3,3,0.971,0.0067,,,,,,,,,,,,,,,,,,
Schortemeyer et al. 2002,49,350,700,350,0.4,*,*,Australian,GC,mmol,No,Table 2 (final dry weight) * Table 4 (NMR),*,No,Grassland,A. aneura,0.0167,0.0348,0.0005,0.0010,9,9,0.7342,0.0002,,,,,,,,,,,,,,,,,,
Schortemeyer et al. 2002,50,350,700,350,0.4,*,*,Australian,GC,mmol,No,Table 2 (final dry weight) * Table 4 (NMR),*,No,Grassland,A. tetragonophylla,0.0620,0.0620,0.0024,0.0105,9,9,0,0.0034,,,,,,,,,,,,,,,,,,
Schortemeyer et al. 2002,51,350,700,350,0.4,*,*,Australian,GC,mmol,No,Table 2 (final dry weight) * Table 4 (NMR),*,No,Grassland,A. irrorata,0.1520,0.2275,0.0060,0.0018,9,9,0.4033,0.0002,,,,,,,,,,,,,,,,,,
Schortemeyer et al. 2002,52,350,700,350,0.4,*,*,Australian,GC,mmol,No,Table 2 (final dry weight) * Table 4 (NMR),*,No,Grassland,A. dealbata,1.0170,2.0335,0.0441,0.0480,9,9,0.6929,0.0003,,,,,,,,,,,,,,,,,,
Schortemeyer et al. 2002,53,350,700,350,0.4,*,*,Australian,GC,mmol,No,Table 2 (final dry weight) * Table 4 (NMR),*,No,Grassland,A. mearnsii,0.6956,0.7636,0.0180,0.0234,9,9,0.0933,0.0002,,,,,,,,,,,,,,,,,,
Schortemeyer et al. 2002,54,350,700,350,0.4,*,*,Australian,GC,mmol,No,Table 2 (final dry weight) * Table 4 (NMR),*,No,Grassland,A. implexa,0.4410,0.8536,0.0294,0.0252,9,9,0.6604,0.0006,,,,,,,,,,,,,,,,,,
Schortemeyer et al. 2002,55,350,700,350,0.4,*,*,Australian,GC,mmol,No,Table 2 (final dry weight) * Table 4 (NMR),*,No,Grassland,A. melanoxylon,0.6902,1.9581,0.0198,0.0405,9,9,1.0427,0.0001,,,,,,,,,,,,,,,,,,
