study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),
Arnone 1999,1,355,680,325,4,46°35' N,8°23' E,Sweden,OTC,mg N m-2 land year-1,No,Table 1,*,No,Grassland,*,Isotope,96,52,190.5256,93.5307,12,12,-0.6131,0.5978,,*,*,*,*,*,*,*,*,,96,52,190.5256,93.5307,12,12,-0.6131,0.5978
Arnone & Gordon 1990,2,350,650,300,0.1,*,*,USA,GC,μmol C2H4 plant-1 h-1 ,Nodulation,Fig.4b; C2H4 production;,*,No,Forest,Broadleaf,C2H2,22.3742,37.7968,5.861,8.3242,5,5,0.5243,0.0234,,22.3742,37.7968,5.861,8.3242,5,5,0.5243,0.0234,,*,*,*,*,*,*,*,*
Arnone & Gordon 1990,3,350,650,300,0.1,*,*,USA,GC,μmol C2H4 plant-1 h-1 ,Nodulation + Nitrogen,Fig.4b; C2H4 production;,*,Yes,Forest,Broadleaf,C2H2,23.0199,46.7236,18.0075,6.7952,5,5,0.7079,0.1266,,23.0199,46.7236,18.0075,6.7952,5,5,0.7079,0.1266,,*,*,*,*,*,*,*,*
Baslam et al. 2012,4,395,710,315,0.2,*,*,*,GC,mmol H2 plant-1 min-1 ,No,Fig. 4c; average of 2nd and 3rd harvests,*,No,Cropland,Alfalfa,H2,0.0361,0.0218,0.0036,0.0011,3,3,-0.5044,0.0042,,0.0361,0.0218,0.0036,0.0011,3,3,-0.5044,0.0042,,*,*,*,*,*,*,*,*
Baslam et al. 2012,5,395,710,315,0.2,*,*,*,GC,mmol H2 plant-1 min-1 ,Mycorrhizal,Fig. 4c; average of 2nd and 3rd harvests,*,No,Cropland,Alfalfa,H2,0.0406,0.0288,0.0023,0.0017,3,3,-0.3434,0.0022,,0.0406,0.0288,0.0023,0.0017,3,3,-0.3434,0.0022,,*,*,*,*,*,*,*,*
Billings et al. 2003,6,350,550,200,3.8,36°49'N,115°55'W,USA,FACE,μmol m-2 land h-1,No,Table 1; C2H4 production; Average across vegetation cover,*,No,Desert,Shrubland,C2H2,16.9,113.4625,7.0093,90.639,3,3,1.9042,0.2701,,*,*,*,*,*,*,*,*,,16.9,113.4625,7.0093,90.639,3,3,1.9042,0.2701
Cabrerizo et al. 2001,7,360,1000,640,0.1,*,*,*,GC,μmol N2 m-1 plant h-1,No,Table 5,*,No,Cropland,Pea,H2,0.56,0.9,0.141421356,0.169705627,8,8,0.4745,0.0124,,0.56,0.9,0.141421356,0.169705627,8,8,0.4745,0.0124,,*,*,*,*,*,*,*,*
Cheng et al. 2011,8,376,555,179,4,35°43' N,78°40' W,USA,OTC,g N m-2 land,Nitrogen,Table 2,*,Yes,Cropland,Soybean,Accumulation,6.95,9.55,0.4775,0.4336,4,4,0.3178,0.0017,,6.7667,9.4,0.6179,0.5009,4,4,0.3287,0.0028,,7.5,10,0.6,1,4,4,0.2877,0.0041
Cheng et al. 2011,9,376,555,179,4,35°43' N,78°40' W,USA,OTC,g N m-2 land,Nitrogen + O3,Table 2,*,Yes,Cropland,Soybean,Accumulation,5.475,8.725,0.4266,0.7183,4,4,0.466,0.0032,,5.8,8.7667,0.4899,0.8718,4,4,0.4131,0.0043,,4.5,8.6,1,1.4,4,4,0.6477,0.019
Cheng et al. 2001,10,374.5,683.5,309,0.3,*,*,Japan,GC,μmol C2H4 kg-1 soil day-1 ,Fertilizer,Fig. 1; Sum across layers,*,Yes,Cropland,Rice,C2H2,8.4215,10.7788,0.3537,0.3243,3,3,0.2468,0.0009,,8.4215,10.7788,0.3537,0.3243,3,3,0.2468,0.0009,,*,*,*,*,*,*,*,*
Dakora & Drake 2000,11,364,660,296,0.3,38°51' N,75°36' W,USA,OTC,ng 15N fixed plant-1 h-1,No,Abstract,*,No,Grassland,Spartina,Isotope,9.8,12.5,3.1843,2.6944,6,6,0.2433,0.0253,,9.8,12.5,3.1843,2.6944,6,6,0.2433,0.0253,,*,*,*,*,*,*,*,*
Dakora & Drake 2000,12,364,665,301,0.3,38°51' N,75°36' W,USA,OTC,ng 15N fixed plant-1 h-1,No,Abstract,*,No,Grassland,Scirpus,Isotope,367,611,112.6765,183.7117,6,6,0.5097,0.0308,,367,611,112.6765,183.7117,6,6,0.5097,0.0308,,*,*,*,*,*,*,*,*
Das et al. 2011,13,*,600,*,0.2,*,*,India,GC,nmol C2H4 g-1 soil day-1 ,Flood 25 C,Fig. 1; last incubation day,Alluvial soil,No,Cropland,Rice,C2H2,28.642,42.4691,1.9753,1.9753,3,3,0.3939,0.0023,,28.642,42.4691,1.9753,1.9753,3,3,0.3939,0.0023,,*,*,*,*,*,*,*,*
Das et al. 2011,14,*,600,*,0.2,*,*,India,GC,nmol C2H4 g-1 soil day-1 ,Flood 35 C,Fig. 1; last incubation day,Alluvial soil,No,Cropland,Rice,C2H2,39.5349,65.1163,12.7907,0,3,3,0.499,0.0349,,39.5349,65.1163,12.7907,0,3,3,0.499,0.0349,,*,*,*,*,*,*,*,*
Das et al. 2011,15,*,600,*,0.2,*,*,India,GC,nmol C2H4 g-1 soil day-1 ,Flood 45 C,Fig. 1; last incubation day,Alluvial soil,No,Cropland,Rice,C2H2,39.5349,95.3488,11.6279,0,3,3,0.8804,0.0288,,39.5349,95.3488,11.6279,0,3,3,0.8804,0.0288,,*,*,*,*,*,*,*,*
Das et al. 2011,16,*,600,*,0.2,*,*,India,GC,nmol C2H4 g-1 soil day-1 ,Non-flood 25 C,Fig. 1; last incubation day,Alluvial soil,No,Cropland,Rice,C2H2,2.9268,3.2195,0.878,0.878,3,3,0.0953,0.0548,,2.9268,3.2195,0.878,0.878,3,3,0.0953,0.0548,,*,*,*,*,*,*,*,*
Das et al. 2011,17,*,600,*,0.2,*,*,India,GC,nmol C2H4 g-1 soil day-1 ,Non-flood 35 C,Fig. 1; last incubation day,Alluvial soil,No,Cropland,Rice,C2H2,2.7711,3.012,1.2048,1.9277,3,3,0.0834,0.1995,,2.7711,3.012,1.2048,1.9277,3,3,0.0834,0.1995,,*,*,*,*,*,*,*,*
Das et al. 2011,18,*,600,*,0.2,*,*,India,GC,nmol C2H4 g-1 soil day-1 ,Non-flood 45 C,Fig. 1; last incubation day,Alluvial soil,No,Cropland,Rice,C2H2,2.439,2.8049,0.6098,1.3415,3,3,0.1398,0.0971,,2.439,2.8049,0.6098,1.3415,3,3,0.1398,0.0971,,*,*,*,*,*,*,*,*
Das et al. 2011,19,*,600,*,0.2,*,*,India,GC,nmol C2H4 g-1 soil day-1 ,Flood 25 C,Fig. 1; last incubation day,Laterite soil,No,Cropland,Rice,C2H2,5.75,6.5,1.75,2.25,3,3,0.1226,0.0708,,5.75,6.5,1.75,2.25,3,3,0.1226,0.0708,,*,*,*,*,*,*,*,*
Das et al. 2011,20,*,600,*,0.2,*,*,India,GC,nmol C2H4 g-1 soil day-1 ,Flood 35 C,Fig. 1; last incubation day,Laterite soil,No,Cropland,Rice,C2H2,6.1728,7.4074,2.1605,2.1605,3,3,0.1823,0.0692,,6.1728,7.4074,2.1605,2.1605,3,3,0.1823,0.0692,,*,*,*,*,*,*,*,*
Das et al. 2011,21,*,600,*,0.2,*,*,India,GC,nmol C2H4 g-1 soil day-1 ,Flood 45 C,Fig. 1; last incubation day,Laterite soil,No,Cropland,Rice,C2H2,5.3012,6.747,1.4458,1.9277,3,3,0.2412,0.052,,5.3012,6.747,1.4458,1.9277,3,3,0.2412,0.052,,*,*,*,*,*,*,*,*
Das et al. 2011,22,*,600,*,0.2,*,*,India,GC,nmol C2H4 g-1 soil day-1 ,Non-flood 25 C,Fig. 1; last incubation day,Laterite soil,No,Cropland,Rice,C2H2,0.6,0.7,0.225,0.275,3,3,0.1542,0.0983,,0.6,0.7,0.225,0.275,3,3,0.1542,0.0983,,*,*,*,*,*,*,*,*
Das et al. 2011,23,*,600,*,0.2,*,*,India,GC,nmol C2H4 g-1 soil day-1 ,Non-flood 35 C,Fig. 1; last incubation day,Laterite soil,No,Cropland,Rice,C2H2,0.8889,0.9259,0.1852,0.2222,3,3,0.0408,0.0337,,0.8889,0.9259,0.1852,0.2222,3,3,0.0408,0.0337,,*,*,*,*,*,*,*,*
Das et al. 2011,24,*,600,*,0.2,*,*,India,GC,nmol C2H4 g-1 soil day-1 ,Non-flood 45 C,Fig. 1; last incubation day,Laterite soil,No,Cropland,Rice,C2H2,0.65,0.75,0.1,0.25,3,3,0.1431,0.0449,,0.65,0.75,0.1,0.25,3,3,0.1431,0.0449,,*,*,*,*,*,*,*,*
Feng & Flessa 2004,25,350,700,350,0.3,*,*,*,GC,mg N,Nitrogen,Table 1,Nodule dry mass * Nfix per mg nodule,Yes,Forest,Black locust,Isotope,19.257,68.931,6.419,42.849,6,6,1.2752,0.0829,,19.257,68.931,6.419,42.849,6,6,1.2752,0.0829,,*,*,*,*,*,*,*,*
Hartwig et al. 2002,26,350,600,250,4,47°27'N,8°41'E,Switzerland,FACE,g N m-2 land yr-1,Low Nitrogen,Table 3,*,Yes,Grassland,Trifolium repens ,Isotope,15.2,23.4,1.52,2.34,3,3,0.4314,0.0067,,*,*,*,*,*,*,*,*,,15.2,23.4,1.52,2.34,3,3,0.4314,0.0067
