study_id,MAT,MAP (mm),_Whole-day,Facility,Facility-1,Experimental duration (month),Other treatments,Expeimental type,Latitude,Plant part-1,Plant part-2,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,Unit,Response ratio,Variance of response ratio,species,PFT-1,PFT-2,PFT-3,PFT-4
Aerts et al. 2006,-0.6,320,0.9,OTC,OTC,4,snow,field,68.35,aboveground,,179.69,235.16,52.41,89.09,5,5,g/(m2*yr),0.27,0.05,Sphagnum fuscum (2001 spring warming + winter passive snow accumulation),spore plant,,,
Aerts et al. 2006,-0.6,320,0.9,OTC,OTC,4,snow,field,68.35,aboveground,,289.84,260.16,29.7,96.08,5,5,g/(m2*yr),-0.11,0.03,Sphagnum fuscum (2001 summer warming + winter passive snow accumulation),spore plant,,,
Aerts et al. 2006,-0.6,320,0.9,OTC,OTC,16,snow,field,68.35,aboveground,,210.16,339.84,82.11,68.13,5,5,g/(m2*yr),0.48,0.04,Sphagnum fuscum (2002 spring warming + winter passive snow accumulation),spore plant,,,
Aerts et al. 2006,-0.6,320,0.9,OTC,OTC,16,snow,field,68.35,aboveground,,310.16,319.53,48.91,83.85,5,5,g/(m2*yr),0.03,0.02,Sphagnum fuscum (2002 summer warming + winter passive snow accumulation),spore plant,,,
Aerts et al. 2006,-0.6,320,0.9,OTC,OTC,4,,field,68.35,aboveground,,144.53,179.69,78.61,47.17,5,5,g/(m2*yr),0.22,0.07,Sphagnum fuscum (2001 summer warming),spore plant,,,
Aerts et al. 2006,-0.6,320,0.9,OTC,OTC,16,,field,68.35,aboveground,,231.25,254.69,85.6,97.83,5,5,g/(m2*yr),0.1,0.06,Sphagnum fuscum (2002 summer warming),spore plant,,,
Ahmed et al. 1993,,,5,Environment-controlled-chamber,Chamber,1.5,CO2,pot  ,,aboveground,shoot,118,103,13.23,13.23,7,7,g/plant,-0.14,0,Vigna unguiculata total shoot biomass of cowpea lines 518,seed plant,herbaceous,forb,leguminous
Ahmed et al. 1993,,,5,Environment-controlled-chamber,Chamber,1.5,CO2,pot  ,,aboveground,shoot,89,63,10.58,7.94,7,7,g/plant,-0.35,0,Vigna unguiculata total shoot biomass of cowpea lines 7964,seed plant,herbaceous,forb,leguminous
Ahmed et al. 1993,,,5,Environment-controlled-chamber,Chamber,1.5,CO2,pot  ,,aboveground,shoot,109,82,13.23,26.46,7,7,g/plant,-0.28,0.02,Vigna unguiculata total shoot biomass of cowpea lines CB5,seed plant,herbaceous,forb,leguminous
Ahmed et al. 1993,,,5,Environment-controlled-chamber,Chamber,1.5,,pot  ,,aboveground,shoot,89,91,10.58,13.23,7,7,g/plant,0.02,0.01,Vigna unguiculata total shoot biomass of cowpea lines 518,seed plant,herbaceous,forb,leguminous
Ahmed et al. 1993,,,5,Environment-controlled-chamber,Chamber,1.5,,pot  ,,aboveground,shoot,66,58,7.94,18.52,7,7,g/plant,-0.13,0.02,Vigna unguiculata total shoot biomass of cowpea lines 7964,seed plant,herbaceous,forb,leguminous
Ahmed et al. 1993,,,5,Environment-controlled-chamber,Chamber,1.5,,pot  ,,aboveground,shoot,91,76,7.94,13.23,7,7,g/plant,-0.18,0.01,Vigna unguiculata total shoot biomass of cowpea lines CB5,seed plant,herbaceous,forb,leguminous
Allen & Vu 2009,,,1.5,Temperature-gradient-greenhouse,Greenhouse,12,,pot,,aboveground,leaf,182.7,193.77,39.15,54.81,2,2,g/tree,0.06,0.06,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,1.5,Temperature-gradient-greenhouse,Greenhouse,24,,pot,,aboveground,leaf,415.88,372.56,49.01,98.02,8,8,g/tree,-0.11,0.01,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,1.5,Temperature-gradient-greenhouse,Greenhouse,12,,pot,,belowground,root,387.54,442.91,78.3,172.25,2,2,g/tree,0.13,0.1,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,1.5,Temperature-gradient-greenhouse,Greenhouse,24,,pot,,belowground,root,658.48,701.81,98.02,196.05,8,8,g/tree,0.06,0.01,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,1.5,Temperature-gradient-greenhouse,Greenhouse,12,,pot,,aboveground,stem,282.35,293.43,46.98,78.3,2,2,g/tree,0.04,0.05,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,1.5,Temperature-gradient-greenhouse,Greenhouse,24,,pot,,aboveground,stem,623.83,667.15,98.02,49.01,8,8,g/tree,0.07,0,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,1.5,Temperature-gradient-greenhouse,Greenhouse,12,,pot,,total,,852.6,930.1,31.32,78.3,2,2,g/tree,0.09,0,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,1.5,Temperature-gradient-greenhouse,Greenhouse,24,,pot,,total,,1689.53,1715.52,196.05,196.05,8,8,g/tree,0.02,0,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,3,Temperature-gradient-greenhouse,Greenhouse,12,,pot,,aboveground,leaf,182.7,254.67,39.15,62.64,2,2,g/tree,0.33,0.05,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,3,Temperature-gradient-greenhouse,Greenhouse,24,,pot,,aboveground,leaf,415.88,459.21,49.01,98.02,8,8,g/tree,0.1,0.01,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,3,Temperature-gradient-greenhouse,Greenhouse,12,,pot,,belowground,root,387.54,520.42,78.3,148.76,2,2,g/tree,0.29,0.06,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,3,Temperature-gradient-greenhouse,Greenhouse,24,,pot,,belowground,root,658.48,805.78,98.02,220.56,8,8,g/tree,0.2,0.01,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
