study_id,ecosystem/vegetation type,N addition (kg N ha-1 y-1),addition simplify,Fertilizer type,Fertilizer type simplify,Duration (days),Duration simplify,Species,Needle/broadleaf,C3/C4,Legume/non-legume,Deciduous/evergreen,Organ,Organ simplify 1,Organ simplify 2,mean_trt,mean_ctrl,Δ1,δ15N of fertilizer ‰,Δ2,,SD_trt,SD_ctrl,N_trt,N_ctrl,N,J,S,Hedages d,Vd,Vd*n,w',d',
1 ,Tree,125.000 ,100-200,Urea,urea,4745 , > 10 yr,Alseis blackiana,broadleaf,C3,non-N-fixing,evergreen,leaf,leaf,above ground,1.478 ,-0.883 ,2.361 ,-2.200 ,-4.561 ,-3.352 ,0.583 ,1.136 ,7.000 ,7.000 ,4.000 ,0.9362 ,0.9027 ,2.4484 ,0.4998 ,1.9993,0.5002,1.2247 ,
1 ,Tree,125.000 ,100-200,Urea,urea,4745 , > 10 yr,Heisteria concinna,broadleaf,C3,non-N-fixing,evergreen,leaf,leaf,above ground,0.350 ,-0.642 ,0.992 ,-2.200 ,-3.192 ,,0.670 ,0.874 ,7.000 ,7.000 ,4.000 ,0.9362 ,0.7785 ,1.1928 ,0.3365 ,1.3461,0.7429,0.8861 ,
1 ,Tree,125.000 ,100-200,Urea,urea,4745 , > 10 yr,Oenocarpus mapora,broadleaf,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.721 ,-1.276 ,0.555 ,-2.200 ,-2.755 ,,1.660 ,1.223 ,7.000 ,7.000 ,4.000 ,0.9362 ,1.4582 ,0.3564 ,0.2903 ,1.1610,0.8613,0.3070 ,
1 ,Tree,125.000 ,100-200,Urea,urea,4745 , > 10 yr,Tetragastris panamensis,broadleaf,C3,non-N-fixing,evergreen,leaf,leaf,above ground,1.646 ,0.945 ,0.701 ,-2.200 ,-2.901 ,,0.874 ,0.990 ,7.000 ,7.000 ,4.000 ,0.9362 ,0.9339 ,0.7024 ,0.3033 ,1.2133,0.8242,0.5789 ,
2 ,Tree,60.000,< 100,Urea,urea,365 ,< 3 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.733 ,-0.339 ,-0.394 ,0.000 ,0.394 ,-3.517 ,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,-0.3394 ,0.6763 ,40.5759,0.0246,-0.0084 ,
2 ,Tree,60.000,< 100,Urea,urea,730 ,< 3 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.005 ,0.014 ,-1.018 ,0.000 ,1.018 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,-0.8761 ,0.7306 ,43.8375,0.0228,-0.0200 ,
2 ,Tree,60.000,< 100,Urea,urea,1095 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.842 ,0.014 ,-0.855 ,0.000 ,0.855 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,-0.7359 ,0.7118 ,42.7077,0.0234,-0.0172 ,
2 ,Tree,55.000,< 100,Urea,urea,1460 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.140 ,-0.637 ,-0.504 ,0.000 ,0.504 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,-0.4334 ,0.6823 ,40.9394,0.0244,-0.0106 ,
2 ,Tree,52.000,< 100,Urea,urea,1825 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.624 ,-0.718 ,0.093 ,0.000 ,-0.093 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,0.0804 ,0.6672 ,40.0323,0.0250,0.0020 ,
2 ,Tree,50.000,< 100,Urea,urea,2190 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.140 ,-1.124 ,-0.016 ,0.000 ,0.016 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,-0.0139 ,0.6667 ,40.0010,0.0250,-0.0003 ,
