study_id,ecosystem_veg,N addition,addition simplify,Fertilizer type,Fertilizer type simplify,Duration_days,Duration simplify,Species,Needle_broadleaf,C3_C4,Legume_non-legume,Deciduous_evergreen,Organ,Organ simplify 1,Organ simplify 2,1,15N of fertilizer,2,NA,mean_trt,mean_ctrl,SD_trt,SD_ctrl,N_trt,N_ctrl,N,J,S,HedagesD,Vd,VdN,w,d
1,Tree,125,100-200,Urea,urea,4745, > 10 yr,Alseis blackiana,broadleaf,C3,non-N-fixing,evergreen,leaf,leaf,above ground,2.361,-2.2,-4.561,-3.352,1.478,-0.883,0.583,1.136,7,7,4,0.9362,0.9027,2.4484,0.4998,1.9993,0.5002,1.2247
1,Tree,125,100-200,Urea,urea,4745, > 10 yr,Heisteria concinna,broadleaf,C3,non-N-fixing,evergreen,leaf,leaf,above ground,0.992,-2.2,-3.192,NA,0.35,-0.642,0.67,0.874,7,7,4,0.9362,0.7785,1.1928,0.3365,1.3461,0.7429,0.8861
1,Tree,125,100-200,Urea,urea,4745, > 10 yr,Oenocarpus mapora,broadleaf,C3,non-N-fixing,evergreen,leaf,leaf,above ground,0.555,-2.2,-2.755,NA,-0.721,-1.276,1.66,1.223,7,7,4,0.9362,1.4582,0.3564,0.2903,1.161,0.8613,0.307
1,Tree,125,100-200,Urea,urea,4745, > 10 yr,Tetragastris panamensis,broadleaf,C3,non-N-fixing,evergreen,leaf,leaf,above ground,0.701,-2.2,-2.901,NA,1.646,0.945,0.874,0.99,7,7,4,0.9362,0.9339,0.7024,0.3033,1.2133,0.8242,0.5789
2,Tree,60,< 100,Urea,urea,365,< 3 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.394,0,0.394,-3.517,-0.733,-0.339,1.02,0.829,3,3,60,0.8,0.9297,-0.3394,0.6763,40.5759,0.0246,-0.0084
2,Tree,60,< 100,Urea,urea,730,< 3 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.018,0,1.018,NA,-1.005,0.014,1.02,0.829,3,3,60,0.8,0.9297,-0.8761,0.7306,43.8375,0.0228,-0.02
2,Tree,60,< 100,Urea,urea,1095,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.855,0,0.855,NA,-0.842,0.014,1.02,0.829,3,3,60,0.8,0.9297,-0.7359,0.7118,42.7077,0.0234,-0.0172
2,Tree,55,< 100,Urea,urea,1460,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.504,0,0.504,NA,-1.14,-0.637,1.02,0.829,3,3,60,0.8,0.9297,-0.4334,0.6823,40.9394,0.0244,-0.0106
2,Tree,52,< 100,Urea,urea,1825,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,0.093,0,-0.093,NA,-0.624,-0.718,1.02,0.829,3,3,60,0.8,0.9297,0.0804,0.6672,40.0323,0.025,0.002
2,Tree,50,< 100,Urea,urea,2190,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.016,0,0.016,NA,-1.14,-1.124,1.02,0.829,3,3,60,0.8,0.9297,-0.0139,0.6667,40.001,0.025,-0.0003
