study_id,Comparison#,Author,Year publication,Journal,Title,Author Affiliation,Country,Continent,Developed,Development,Latitude,Publisher,Study type,In Seufert,In Badgley,In de Ponti,Crop species,Crop type,Duration of study,Research project,Study site,Y_coord,X_coord,year-org,year-conv,DataThief used,Perennial,Legume,Comparability of system,Drought,Time since conversion,Conv system type,Org system type,Conv yield comparability,BMP,Multi crop,Rotations,non food rotation,Org fertilizer type,Green manure org,Animal manure org,N input,N inputs include all inputs,Org N input kg/ha,Conv N input kg/ha,P input,Org P input kg/ha,Conv P input kg/ha,Irrigation,Tillage,GDD,Moisture,Soil carbon,Soil pH,Soil pH source,Yield unit,Data location,Conv treatment,Organic treatment,Variance across year,Lajeunesse method used,mean_ctrl,SD_ctrl,N_ctrl,mean_trt,SD_trt,N_trt,lnRR,var lnRR
15,120,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,maize,cereals,medium,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,1997,1997,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,no,3.81,0.54,3,2.79,1.44,4,-0.311587593,0.073293308
15,121,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,maize,cereals,medium,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2001,2001,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,yes,7.75,0.51,4,4.82,0.55,4,-0.474918915,0.004337775
15,122,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,maize,cereals,medium,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2000,2000,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,standard,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,chisel till,3 yr rotation,no,yes,9.09,0.38,4,7.81,0.6,4,-0.151769944,0.001912402
15,123,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,maize,cereals,medium,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2003,2003,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,yes,4.3,0.61,4,3.16,0.22,4,-0.308042995,0.006242843
15,124,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,maize,cereals,medium,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2001,2001,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,standard,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,chisel till,3 yr rotation,no,yes,7.81,0.53,4,4.82,0.55,4,-0.482631036,0.004406455
15,125,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,maize,cereals,medium,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2002,2002,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,yes,3.81,0.71,4,0.55,0.29,4,-1.93546619,0.078185872
15,126,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,maize,cereals,medium,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2002,2002,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,standard,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,chisel till,3 yr rotation,no,yes,3.36,0.71,4,0.55,0.29,4,-1.809777975,0.080667061
15,127,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,maize,cereals,medium,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2005,2005,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,yes,10.3,0.44,4,8.89,0.25,4,-0.147216846,0.000653921
15,128,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,maize,cereals,medium,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2005,2005,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,standard,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,chisel till,3 yr rotation,no,yes,10.6,0.55,4,8.89,0.25,4,-0.175926952,0.000870764
15,129,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,soybean,oil crops,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2001,2001,no,annual,legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,yes,4.31,0.14,4,3.28,0.23,4,-0.273094482,0.001493052
15,130,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,soybean,oil crops,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2001,2001,no,annual,legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,standard,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,chisel till,3 yr rotation,no,yes,4.24,0.3,4,3.28,0.23,4,-0.256719847,0.00248083
15,131,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,soybean,oil crops,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2002,2002,no,annual,legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,yes,1.75,0.35,4,0.87,0.2,4,-0.698877855,0.023211785
