study_id,subsidytype,donor_system,recipient_system,recipient_taxa,trophiclevel,study_type,N_trt,N_ctrl,mean_trt,units,SD_trt,mean_ctrl,units,SD_ctrl,response_var,exclude
Barrett et al. 2005,marine debris,ocean,islands,Uta stansburiana,predator,descriptive,2,2,9,no. sighted/h,1,25,no. sighted/h,4,abundance,0
Barrett et al. 2005,marine bird guano,ocean,islands,Uta stansburiana,predator,descriptive,9,9,26,no. sighted/h,8,78,no. sighted/h,20,abundance,0
Bastow et al. 2002,algal mats,stream,cobble bars,tetrigidae,detritivore,descriptive,3,3,0.0707,no./m2,0.1141,0.2173,no./m2,0.2082,density,0
Bastow et al. 2002,algal mats,stream,cobble bars,tetrigidae,detritivore,descriptive,3,3,0.0294,no./m2,0.0336,1.075,no./m2,0.6041,density,0
Bastow et al. 2002,algal mats,stream,cobble bars,tetrigidae,detritivore,descriptive,3,3,0.0191,no./m2,0.0336,1.154,no./m2,0.8693,density,0
Bastow et al. 2002,algal mats,stream,cobble bars,tetrigidae,detritivore,manipulative,6,6,1.121,no./m2,0.8355,35.96,no./m2,24.4046,density,0
Bastow et al. 2002,algal mats,stream,cobble bars,acrididae,detritivore,manipulative,3,3,0.02,no./m2,0.0346,0.14,no./m2,0.1386,density,0
Bastow et al. 2002,algal mats,stream,cobble bars,gelastocoridae,detritivore,manipulative,3,3,0.05,no./m2,0.052,4.1,no./m2,0.1559,density,0
Baxter et al. 2004,aquatic insects,stream,riparian forest,spiders,predator,manipulative,4,4,0.0252,no./m2,0.0271,0.1452,no./m2,0.04,density,0
Bomkamp et al. 2004,marine debris,oil platforms,ocean floor,echinoderms,predator,manipulative,3,3,0.5,no./m2,0.4,2.5,no./m2,1,density,0
Bomkamp et al. 2004,marine debris,oil platforms,ocean floor,mollusks,detritivore,manipulative,3,3,0.1,no./m2,0.2,0.45,no./m2,0.2,density,0
Bouchard and Bjorndal 2000,marine turtle eggs,ocean,coast,racoons,omnivore,descriptive,2,2,1,percent,,28,percent,,percent of total,1
Bouchard and Bjorndal 2000,marine turtle eggs,ocean,coast,ghost crabs,omnivore,descriptive,2,2,1,percent,,2.5,percent,,percent of total,1
Bouchard and Bjorndal 2000,marine turtle eggs,ocean,coast,plants,producer,descriptive,2,2,1,percent,,23,percent,,percent of total,1
Eggert and Wallace 2003,leaf litter,forest,stream,Pycnopsyche gentilis,detritivore,manipulative,4,4,2,no./m2,,175,no./m2,,abundance,1
Gende and Willson 2001,salmon,ocean,forest,birds,insectivore,descriptive,7,7,4.21,no./station/day,0.7,5.14,no./station/day,0.7408,density,0
Gende and Willson 2001,salmon,ocean,forest,Pacific Slope Flycatcher,insectivore,descriptive,7,7,0.29,no./station/day,,0.7,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,Townsends Warbler,insectivore,descriptive,7,7,0.45,no./station/day,,0.6,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,Golden crowned Kinglet,insectivore,descriptive,7,7,0.43,no./station/day,,0.54,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,Chestnut backed Chickadee,insectivore,descriptive,7,7,0.36,no./station/day,,0.42,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,Dark-eyed Junco,insectivore,descriptive,7,7,0,no./station/day,,0.03,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,Pine Siskin,insectivore,descriptive,7,7,0,no./station/day,,0.03,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,Tree Swallow,insectivore,descriptive,7,7,0,no./station/day,,0.01,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,Western Tanager,insectivore,descriptive,7,7,0,no./station/day,,0.01,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,Varied Thush,insectivore,descriptive,7,7,0.39,no./station/day,,0.4,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,American Robin,insectivore,descriptive,7,7,0.11,no./station/day,,0.1,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,Fox Sparrow,insectivore,descriptive,7,7,0.04,no./station/day,,0,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,Winter Wren,insectivore,descriptive,7,7,0.63,no./station/day,,0.58,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,Ruby crowned Kinglet,insectivore,descriptive,7,7,0.17,no./station/day,,0.13,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,Hermit Thush,insectivore,descriptive,7,7,0.3,no./station/day,,0.25,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,Swainson's Thush,insectivore,descriptive,7,7,0.07,no./station/day,,0.01,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,Orange-crowned Warbler,insectivore,descriptive,7,7,0.12,no./station/day,,0.04,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,Yellow Warbler,insectivore,descriptive,7,7,0.08,no./station/day,,0,no./station/day,,density,0
Gende and Willson 2001,salmon,ocean,forest,Wilson's Warbler,insectivore,descriptive,7,7,0.28,no./station/day,,0.05,no./station/day,,density,0
Henschel et al. 2001,aquatic insects,stream,riparian forest,horizontal orb weavers,predator,descriptive,9,9,9.2,no./m2,7.1,21.9,no./m2,21.1,density,0
Henschel et al. 2001,aquatic insects,stream,riparian forest,horizontal orb weavers,predator,descriptive,9,9,10.5,no./m2,8.1,21.9,no./m2,21.1,density,0
Iwata et al. 2003,aquatic insects,stream,riparian forest,flycatchers,insectivore,descriptive,26,26,0.44,no. ind.,,41.5198,no. ind.,,density,0
Iwata et al. 2003,aquatic insects,stream,riparian forest,gleaners,insectivore,descriptive,26,26,11.31,no. ind.,,219.9078,no. ind.,,density,0
