Interaction,mean_trt,N_trt,SD_trt,expse,mean_ctrl,N_ctrl,SD_ctrl,cose,logdif,loc,lat,long,elev,alt,study_id
1,1.19,90,0.38,0.04,1.18,90,0.19,0.02,0.01,temp,20,102,2000,montane,(1)Hengxiao et al.1999
1,70.5,2,10.61,7.5,99.25,4,15.33,7.66,-0.34,temp,37.98,-2.86,1350,montane,(2)Alonso 2005
1,8.33,5,4.66,2.08,29.17,5,18.63,8.33,-1.25,temp,69.43,-158.49,100,low,(3)Bryant et al. 1994
1,45.83,5,13.98,6.25,58.33,5,13.98,6.25,-0.24,temp,69.43,-158.49,100,low,(3)Bryant et al. 1994
1,7.5,195,14.55,1.04,1.4,195,11.64,0.83,1.68,temp,40.9,-76.79,180,low,(4)Abrahmson et al 1988
1,17.6,5,2.24,1,5.6,5,0.89,0.4,1.15,temp,52.04,5.83,47,low,(5)Aerts 1989
1,1.35,16,0.22,0.05,1.16,16,0.15,0.04,0.15,temp,61.09,17.07,50,low,(6)Bjorkman 1991
1,2.54,16,0.43,0.11,2.22,16,0.43,0.11,0.14,temp,61.09,17.07,50,low,(7) Bjorkman 1991
1,4.71,10,0.93,0.29,2.35,10,0.93,0.29,0.69,temp,9.15,-79.75,100,low,(8)Bryant et al. 1987
1,1.06,10,0.48,0.15,2.35,10,1.2,0.38,-0.79,temp,9.15,-79.75,100,low,(8)Bryant et al. 1987
1,10,10,2.53,0.8,6.8,10,3.16,1,0.39,trop,1.34,103.78,45,low,(9)Burslem et al 1996
1,4.6,10,0.63,0.2,4.3,10,0.63,0.2,0.07,trop,1.34,103.78,45,low,(9)Burslem et al 1996
1,7,10,0.95,0.3,6.4,10,1.26,0.4,0.09,trop,1.34,103.78,45,low,(9)Burslem et al 1996
1,398.5,8,89.1,31.5,144.2,8,17.5,6.19,1.02,trop,-16.97,145.62,760,low,(10)Chazdon and Pearcy 1986
1,60.6,5,3.91,1.75,48.3,5,3.24,1.45,0.23,temp,38.97,-106.99,3021,montane,(11)Collinge and Louda 1988
1,3.4,29,2.23,0.49,1.5,34,2.16,0.37,0.82,temp,38.97,-106.99,3021,montane,(11)Collinge and Louda 1989
1,144.4,8,26.2,9.26,64.3,8,14.1,4.99,0.81,temp,39.59,-120.01,1530,montane,(12)DeLucia et al 1989
1,23.3,8,8.6,3.04,20,8,4.2,1.48,0.15,temp,39.59,-120.01,1530,montane,(12)DeLucia et al 1989
1,38,40,8.85,1.4,15,14,8.98,2.4,0.93,trop,1.15,-72.01,225,low,(13)Duivenvoorden 1996
1,22.13,4,5.66,2.83,16.47,4,9.78,4.89,0.3,temp,-20.31,44.28,511,low,(14)Gebauer et al 1987
1,32.4,21,7.1,1.55,5,18,2.3,0.54,1.87,trop,-11.75,-71.5,416,low,(15)Gentry and Emmons 1987
1,20.25,2,2.1,1.48,15.4,4,1.54,0.77,0.27,trop,-2.49,37.34,1000,montane,(16)Georgiadis 1989
1,318,3,43.82,25.3,70.1,3,33.6,19.4,1.51,trop,10.42,-84.02,40,low,(17)Gerwing 1995
1,334.7,135,142.1,12.23,262,133,112.5,9.75,0.24,temp,43.62,3.63,274,low,(18)Glyphis and Puttick 1989
1,51.4,5,9.6,6.83,32.3,5,6.83,3.05,0.46,temp,69.75,27,178,low,(19)Haukioja et al. 1985
1,4.1,156,0.6,0.05,2.9,156,2.8,0.22,0.35,trop,9.15,-79.85,143,low,(20)Howe 1990
1,0.16,25,0.09,0.02,2.73,25,0.98,0.2,-2.81,temp,60.29,24.76,64,low,(21)Julkunnen-Tiitto et al. 1993
1,45,4,6,3,27,4,12,6,0.51,temp,64.24,-147.64,349,low,(22)Koch et al 1991
1,0.89,9,0.53,0.18,0.44,9,0.73,0.24,0.69,temp,35.99,-78.94,96,low,(23)Marks and Clay 1990
1,16.2,3,1.04,0.6,6.5,3,1.21,0.7,0.91,temp,45.77,4.82,247,low,(24)Methy et al. 1990
1,1763,17,387.57,94,583,25,155,31,1.11,temp,51.97,5.66,10,low,(25)Minkenberg and Ottenheim 1992
1,1.37,3,0.36,0.21,0.14,3,0.28,0.16,2.29,trop,10.47,-84.03,101,low,(26)Fetcher et al. 1985
1,80.18,20,21.95,4.91,62.18,20,18.3,4.09,0.25,trop,19.5,-105.05,58,low,(27)Parra-Tabla and Bullock 1992
1,426.5,5,122.54,54.8,329.7,5,86.76,38.8,0.26,temp,38.06,-84.51,295,low,(28)Potter 1992
1,12.8,10,10.12,3.2,1.92,10,3.54,1.12,1.9,temp,64.88,-147.75,147,low,(29)Reichardt et al. 1991
1,40.1,6,14.45,5.9,24.52,5,3.18,1.42,0.49,temp,42.02,-71.1,25,low,(30)Schmid et al 1993
1,2.42,4,1.17,0.58,1.17,4,0.83,0.42,0.73,temp,34.96,-77.03,9,low,(31)Simms 1992
1,95.65,8,14.76,5.22,73.91,8,2.46,0.87,0.26,temp,51.1,9.67,414,low,(32)Taylor and Davies 1986
1,0.87,3,0.46,0.27,0.63,3,0.41,0.24,0.32,trop,12.01,-83.78,47,low,(33)Vandermeer et al 1998
1,0.2,3,0.09,0.05,0.07,3,0.08,0.04,1,trop,4.05,-52.54,67,low,(33)Vandermeer et al 1998
1,4.7,16,0.8,0.2,3.6,16,0.8,0.2,0.27,trop,19.33,-155.25,1790,montane,(34)Walker and Aplet 1994
1,7.8,31,3.9,0.7,13,29,7,1.3,-0.51,temp,-37.92,145.57,215,low,(35)Wallace and O'Dowd 1989
1,239,3,0.35,0.2,172.3,3,1.85,1.07,0.33,temp,57.42,-3.33,252,low,(36)Watt 1989
1,10,10,6.85,2.17,0.83,10,0.53,0.17,2.48,trop,-19.35,45.2,579,low,(37)Widmann et al 1990
1,54.19,4,10.32,5.16,10.57,4,1.57,0.78,1.63,temp,53.26,-1.78,289,low,(38)Fraser and Grime 1998
1,0.8,8,0.03,0.01,0.6,8,0.14,0.05,0.29,temp,46,-80,233,low,(39)Schmitz 1993
1,1053.6,4,54.18,27.09,913.1,4,62.76,31.38,0.14,trop,-21.94,16.95,1438,montane,(40) Katjua et al. 2006
1,14.41,5,8.17,3.66,4.3,5,2.89,1.29,1.21,trop,-11.9,-71.37,345,low,(41)King 2003
1,4.67,42,4.32,0.67,1,42,0.65,0.1,1.54,trop,9.15,-79.85,137,low,(42)Barberis and Dalling 2008
1,1270,6,442.72,180.74,470,6,363.32,148.32,0.99,temp,-28.43,-53.84,435,low,(43)Coelho et al 2007
1,1.61,4,0.24,0.12,0.86,4,0.22,0.11,0.63,temp,-41.5,144.95,232,low,(44)Cunningham and Read 2003
1,1.84,4,0.1,0.05,1.39,4,0.23,0.12,0.28,temp,-37.42,149.82,264,low,(44)Cunningham and Read 2003
1,16.56,4,1.65,0.83,27.03,4,2.67,1.34,-0.49,trop,-16.42,145.31,600,low,(44)Cunningham and Read 2003
1,2.94,10,0.33,0.1,0.42,10,0.5,0.16,1.95,temp,39.51,-74.32,1,low,(45)Denno et al 2003
1,42,8,27.72,9.8,21,8,11.88,4.2,0.69,temp,-37.68,-57.39,0,low,(46)Alberti et al 2010
1,6.2,18,0.1,0.02,2.2,11,0.5,0.15,1.04,trop,-0.99,29.62,1950,montane,(47)Ganas et al 2009
1,1,18,0.2,0.05,0.07,11,0.02,0.01,2.66,trop,-0.99,29.62,1950,montane,(47)Ganas et al 2009
1,49,3,6.93,4,30,3,1.73,1,0.49,trop,-18.33,-45.23,655,montane,(48)Gonzales-Alvim and Fernandes 2005
1,172.41,4,11.72,5.86,113.79,4,13.79,6.9,0.42,temp,34.88,-82.29,298,low,(49)Mihaliak and Lincoln 1989
1,8.75,9,4,1.33,2,9,1.5,0.5,1.48,trop,9.15,-79.86,113,low,(50)Richards and Coley 2008
2,7.14,5,6.39,2.86,17.14,5,3.99,1.79,-0.88,temp,69.43,-158.49,100,low,(51)Bryant et al. 1981
2,7.14,5,4.79,2.14,12.86,5,5.11,2.29,-0.59,temp,69.43,-158.49,100,low,(51)Bryant et al. 1981
2,10,5,4.79,2.14,14.29,5,3.51,1.57,-0.36,temp,69.43,-158.49,100,low,(51)Bryant et al. 1981
2,12.86,5,3.19,1.43,15.71,5,4.79,2.14,-0.2,temp,69.43,-158.49,100,low,(51)Bryant et al. 1981
2,0.42,5,0.05,0.02,87.5,5,27.95,12.5,-5.35,temp,69.43,-158.49,100,low,(51)Bryant et al. 1981
2,8.33,5,18.63,8.33,108.33,5,23.29,10.42,-2.56,temp,69.43,-158.49,100,low,(51)Bryant et al. 1981
2,12.5,5,11.65,5.21,145.83,5,9.32,4.17,-2.46,temp,69.43,-158.49,100,low,(51)Bryant et al. 1981
2,20.6,22,8.54,1.82,55.76,21,9.72,2.12,-1,trop,22.5,114.03,3,low,(52)Anderson and Lee 1995
2,71,19,19.76,4.53,96,19,19.76,4.53,-0.3,temp,42.42,-76.5,280,low,(53)Cain et al. 1991
2,58.8,5,10.46,4.68,109,5,18.4,8.23,-0.62,temp,38.97,-106.99,3021,montane,(11)Collinge and Louda 1988
2,3.4,29,2.23,0.49,2.9,31,2.23,0.4,-0.16,temp,38.97,-106.99,3021,montane,(54)Collinge and Louda 1989
2,91.89,10,21.37,6.76,55.41,10,12.82,4.05,0.51,trop,-24.66,25.87,1027,montane,(55)Dangerfield and Modukanele 1996
2,13.15,6,6.71,2.74,29.59,6,13.42,5.48,-0.81,temp,34.68,-120.6,31,low,(56)D'Antonio et al. 1993
2,13,3,4.04,2.33,17,2,2.83,2,-0.27,trop,12.33,-69.13,258,low,(57)Debrot and Freitas 1993
2,7.67,2,2.36,1.67,9,3,3.46,2,-0.16,trop,12.33,-69.13,100,low,(57)Debrot and Freitas 1993
2,14.2,16,5.6,1.4,43.8,16,11.2,2.8,-1.13,temp,-36.25,148.03,1512,montane,(58)Fox and Morrow 1992
2,12.1,16,3.2,0.8,44.8,16,10,2.5,-1.31,temp,-36.25,148.03,1512,montane,(58)Fox and Morrow 1992
2,0.09,6,0.04,0.02,0.49,16,0.26,0.07,-1.66,trop,-2.49,37.34,1000,montane,(16)Georgiadis 1989
2,83,13,7,1.94,67,7,10,3.78,0.21,temp,43.62,3.63,274,low,(18)Glyphis and Puttick 1989
2,776.36,11,885.27,266.92,2380.09,11,2196.65,662.31,-1.12,trop,-18,28.2,867,low,(59)Guy 1989
2,250,12,173.21,50,390,12,103.92,30,-0.44,temp,33.74,-111.93,1330,montane,(60)Heske et al. 1993
2,6.32,12,0.42,0.12,6.57,12,0.84,0.24,-0.04,temp,33.74,-111.93,1330,montane,(60)Heske et al. 1993
2,5.67,20,4.04,0.9,15.33,20,3.51,0.79,-1,trop,9.15,-79.85,143,low,(20)Howe 1990
2,6.6,10,0.95,0.3,8.1,8,1.13,0.4,-0.2,temp,43.4,-95.25,440,low,(61)Kinsman and Platt 1994
2,38.2,6,4.41,1.8,35.4,6,2.94,1.2,0.08,trop,-24.65,28.69,1109,montane,(62)Korn and Korn 1989
2,122.6,60,89,11.49,234,60,17,2.19,-0.65,trop,-24.65,28.69,1109,montane,(62)Korn and Korn 1989
2,49.56,5,30.06,13.44,85.8,3,18.86,10.89,-0.55,trop,9.15,-79.85,126,low,(63)Alvarez-Clare and Kitajima 2009
2,28.9,10,7.43,2.35,39.5,10,10.34,3.27,-0.31,temp,42.44,-76.49,172,low,(64)Meyer and Whitlow 1992
2,0.22,7,0.61,0.23,0.39,15,0.15,0.04,-0.57,temp,34.68,-82.83,229,low,(49)Mihaliak and Lincoln 1989
2,0.42,20,0.67,0.15,1.32,20,0.94,0.21,-1.15,trop,18.55,-95.03,78,low,(65)Oyama and Mendoza 1986
2,0.04,20,0.26,0.06,0.19,20,0.29,0.06,-1.65,trop,19.5,-105.05,58,low,(27)Parra-Tabla and Bullock 1992
2,26.1,6,6.12,2.5,33.8,6,9.8,4,-0.26,temp,43.55,-103.48,1287,montane,(66)Polley and Delting 1988
2,2.83,8,1.22,0.43,3.88,8,0.91,0.32,-0.32,temp,52.48,4.64,8,low,(67)Prins and Nell 1990
2,0.4,8,1.41,0.5,2.4,8,1.41,0.5,-1.79,temp,52.48,4.64,8,low,(67)Prins and Nell 1990
2,24.39,8,27.59,9.76,48.78,8,27.59,9.76,-0.69,temp,45.4,-93.19,280,low,(68)Ritchie and Tilman 1993
2,13.58,8,6.4,2.26,39.62,8,16.01,5.66,-1.07,temp,45.4,-93.19,280,low,(68)Ritchie and Tilman 1993
2,9.9,5,15.65,7,35.4,5,15.65,7,-1.27,trop,24.9,-80.7,1,low,(69)Schaffer and Mason 1990
2,3.93,4,2.14,1.07,8.21,4,2.14,1.07,-0.74,temp,46.69,-116.97,942,low,(39)Schmitz 1993
2,0.58,30,0.38,0.07,0.89,97,0.49,0.05,-0.43,trop,-3.08,-60,31,low,(70)Vasconcelos and Casimiro 1997
2,0.91,3,1.43,0.82,18.99,3,14.72,8.5,-3.03,trop,-3.08,-60,31,low,(71)Vasconcelos and Cherret 1997
2,7.6,22,11.26,2.4,29.7,16,12,3,-1.36,trop,-3.08,-60,31,low,(71)Vasconcelos and Cherret 1997
2,0.28,4,0.09,0.05,0.7,4,0.37,0.19,-0.92,temp,39.08,-96.58,375,low,(72)Vinton and Hartnett 1992
2,0.65,60,0.6,0.08,1.69,60,1.49,0.19,-0.95,temp,60.46,22.29,5,low,(73)Vuorisalo et al 1990
2,7.4,20,7.16,1.6,3.6,20,2.68,0.6,0.72,temp,35.2,-111.66,2178,montane,(74)Wagner and Evans 1985
2,0.6,18,0.42,0.1,30.4,19,20.05,4.6,-3.93,temp,-37.92,145.57,215,low,(35)Wallace and O'Dowd 1989
2,4.18,5,0.47,0.21,5.37,7,0.5,0.19,-0.25,temp,54.15,-2.77,107,low,(75)Warrington et al 1989
2,5.08,4,0.66,0.33,6.08,4,0.62,0.31,-0.18,temp,-35.28,149.11,581,low,(76)Willis et al 1993
2,7.78,20,7.45,1.67,15.56,20,7.45,1.67,-0.69,temp,41.24,-112.02,1296,montane,(77)Floate and Whitham 1994
2,2.68,19,5.27,1.21,24.33,19,31.16,7.15,-2.21,trop,2.57,9.83,38,low,(78)Gaume et al 1997
2,6.2,131,7.94,0.69,20.8,128,15.06,1.33,-1.21,trop,18.23,-95.3,18,low,(79)Horvitz and Schemske 1984
2,4.63,26,3.06,0.6,7.88,26,4.08,0.8,-0.53,trop,9.93,-83.69,744,low,(80)Letourneau 1998
2,0.04,25,0,0,0.46,25,0.5,0.1,-2.44,trop,9.93,-83.69,744,low,(80)Letourneau 1998
2,0.49,30,0.93,0.17,1.56,30,1.7,0.31,-1.16,temp,54.15,-2.78,124,low,(81)Warrington and Whittaker 1985
2,16.36,28,57.73,10.91,56.36,28,38.48,7.27,-1.24,temp,41.97,-72.14,287,low,(82)Beckerman et al. 1997
2,0.15,210,0.02,0,1.28,1047,0.03,0,-2.14,temp,37.1,-3.38,2179,montane,(83)Gomez and Zamora 1994
2,8.18,10,5.75,1.82,16.82,10,10.06,3.18,-0.72,temp,42,-72.14,256,low,(84)Schmitz 1998
2,1.5,10,1.26,0.4,4.3,10,1.11,0.35,-1.05,trop,42,-72.14,30,low,(85)Wirf 2006
2,2.4,41,0.3,0.05,4.3,41,0.7,0.11,-0.58,temp,50.93,11.64,215,low,(86)Scherber et al. 2006
2,4.2,36,1.5,0.25,7,36,1.8,0.3,-0.51,temp,50.82,8.77,203,low,(87)Schadler et al. 2007
2,111.11,5,24.85,11.11,222.22,5,49.69,22.22,-0.69,trop,-22.75,25.73,1114,montane,(88)Rooke and Bergstrong 2007
2,25.34,3,1.01,0.58,4.37,3,2.02,1.17,1.76,temp,-31.4,-64.75,2150,montane,(89)Pucheta et al 1998
2,297,3,14.55,8.4,1461.9,3,144.28,83.3,-1.59,temp,-31.4,-64.75,2150,montane,(89)Pucheta et al 1998
2,31.3,8,4.77,1.69,107.6,8,4.77,1.69,-1.23,trop,-32.57,116.13,280,low,(90)Parsons et al 2007
2,23.37,22,8,1.71,47.2,25,13.43,2.69,-0.7,trop,18.57,-95.07,45,low,(91)Nunez-Farfan and Dirzo 1991
