obs_ID,study_ID,year_pub,C_mean,T_mean,C_sd,T_sd,C_n,T_n
obs001,"Adams and Engelhardt, 2009",2009,23.17,18.47,5.32,6.44,6,6
obs002,Aiken et al. 2012,2012,6.56,5.87,3.22,2.24,14,14
obs003,Alaruikka et al. 2002,2002,21,20.43,13.91,11.7,40,40
obs004,"Alvarez and Cushman, 2002",2002,3.97,2.56,1.52,0.95,10,10
obs005,"Andresen, 2008",2008,6.73,6.5,1.44,1.04,4,4
obs006,Angeloni et al. 2006,2006,54,68.4,10.08,5.13,9,9
obs007,Aratrakhorn et al. 2006,2006,22.6,8.95,5.7,5.86,30,30
obs008,Arroyo-Rodriguez and Mandujano 2006,2006,11,16.35,7.27,11.04,10,10
obs009,Arthur et al. 2010,2010,7.57,6.7,2.62,1.76,14,14
obs010,Arthur et al. 2010,2010,6.08,6.78,3.93,5.9,23,23
obs011,Avendano-Mendoza et al. 2005,2005,19.77,8.24,1.5,2.12,5,5
obs012,Avendano-Mendoza et al. 2005,2005,19.77,15.04,2.24,2.35,5,5
obs013,"Bakker and Wilson, 2001",2001,10.1,6.4,1.7,1.98,8,8
obs014,Bakonyi and Nagy 2000,2000,89.1,92,12.93,20.21,6,6
obs015,Bakonyi et al. 2007,2007,22.6,22.3,4.68,3.29,3,3
obs016,"Barbosa and Marquet, 2002",2002,3.37,3.06,0.82,1.15,30,30
obs017,Bartomeus et al. 2008,2008,29.33,20.33,6.43,2.1,3,3
obs018,Bartomeus et al. 2008,2008,23.67,21,2.08,3.46,3,3
obs019,Bartomeus et al. 2008,2008,12,10.3,3.98,1.21,3,3
obs020,Bartomeus et al. 2008,2008,10.3,10.3,1.39,2.25,3,3
obs021,Basset et al. 2008,2008,214.1,278.77,29.27,53.68,3,3
obs022,Beekey et al. 2004,2004,6.62,11.99,1.67,2.91,7,7
obs023,Beekey et al. 2004,2004,5.59,14.11,2.46,3.34,8,8
obs024,Belnap et al. 2005,2005,11.6,6.21,1.18,1.77,3,3
obs025,Benesperi et al. 2012,2012,21.5,14.57,16.93,11.56,7,7
obs026,Benitez-Malvido and Martinez-Ramos 2003,2003,24.14,14.78,2.79,2.1,2,5
obs027,"Biggerstaff and Beck, 2007",2007,1.9,2,1.26,0.95,10,10
obs028,"Biswas and Mallik, 2010",2010,10.19,9.28,1.96,1.17,10,10
obs029,Bobbink 1991,1991,27.2,16.5,3.04,3.25,2,2
obs030,Bonin et al. 2011,2011,1.3,2.6,1.74,1.52,10,5
obs031,Bonin et al. 2011,2011,1.3,0.5,1.74,0.81,10,6
obs032,Bos et al. 2007,2007,8.48,12.78,3.48,8,4,12
obs033,Braga et al. 2013,2013,11.51,1.53,3.52,1.16,15,15
obs034,Bragagnolo et al. 2007,2007,12.75,6.5,2.22,1.87,4,8
obs035,Braschler et al. 2003,2003,3.11,4.11,4.23,3.9,9,9
obs036,"Britton and Fisher, 2007",2007,8.63,7.39,0.56,0.64,6,6
obs037,"Bunnell and Zampella, 2008",2008,3.1,2.3,3.61,3.61,13,13
obs038,"Bunnell and Zampella, 2008",2008,6.2,4.9,6.85,10.1,13,13
obs039,Cane et al. 2006,2006,4.17,5.57,2.01,2.6,12,12
obs040,Ceccon et al. 2004,2004,8.88,10.25,2.7,6.2,4,4
obs041,Chabrerie et al. 2010,2010,34.5,29.6,16.97,12.45,32,32
obs042,Chapman and Chapman 2003,2003,65,25,46.78,39.22,20,20
