obs_ID,study_ID,year_pub,C_mean,T_mean,T_sd,C_sd,T_n,C_n
obs001,Reale et al,1999,61.46,8.44,11.76,72.8,77,65
obs002,Coltman et al,2001,1.33,0.82,0.87,1.63,433,433
obs003,Coltman et al,2001,1.54,0.83,1.14,0.92,433,433
obs004,Bubliy et al,2000,72.94,2.82,5.1,100.01,30,30
obs005,Bubliy et al,2000,101.93,3.04,6.71,130.84,30,30
obs006,Bubliy et al,2000,8.98,1.21,1.03,10.39,30,30
obs007,Bubliy & LoeschckeA,2000,97.16,3.01,4.29,106.94,27,30
obs008,Bubliy & LoeschckeA,2000,136.02,3.71,4.72,160.33,27,30
obs009,Bubliy & LoeschckeA,2000,8.63,1.16,1.5,9.78,27,30
obs010,Bubliy & LoeschckeA,2000,7.6,0.23,0.22,9.05,27,30
obs011,Bubliy & LoeschckeA,2000,0.617,0.09,0.24,0.937,27,30
obs012,Bubliy & LoeschckeB,2002,104,2.79,3.72,107.85,30,30
obs013,Bubliy & LoeschckeB,2002,176.64,3.72,9.3,157.12,30,30
obs014,Bubliy & LoeschckeB,2002,8.9,1.16,1.63,9.51,30,30
obs015,Bubliy & LoeschckeB,2002,41.43,0.23,2.32,8.69,30,30
obs016,Bubliy & LoeschckeB,2002,0.743,0.07,0.19,0.961,30,30
obs017,Janhunen et al,2010,38.8,19.1,25.7,62.5,60,60
obs018,Janhunen et al,2010,23.3,0.9,0.8,25.3,48,48
obs019,Janhunen et al,2010,43.3,9.6,7.3,35.8,48,48
obs020,Laugen et al,2005,42.5,,,38.9,192,192
obs021,Laugen et al,2005,0.378,,,0.643,192,192
obs022,Laugen et al,2005,8.873,,,17.426,192,192
obs023,Gebhardt&Stearns,1992,17.13,,,8.69,6,6
obs024,Gebhardt&Stearns,1992,0.149,,,0.303,6,6
obs025,Gebhardt&Stearns,1992,0.127,,,0.223,6,6
obs026,Rogell et al,2012,91.425,12.57974,18.01164,95.1,45,45
obs027,Sisodia&Singh,2009,57.61,2.89,4.66,61.91,25,30
obs028,Sisodia&Singh,2009,85.37,2.45,3.4,82.59,25,25
obs029,Sisodia&Singh,2009,1.48,0.05,0.05,1.33,25,30
obs030,Sisodia&Singh,2009,7.58,0.89,0.94,8.06,25,30
obs031,Sisodia&Singh,2009,9.47,2.19,3.07,15.34,25,30
obs032,Sisodia&Singh,2009,56.52,2.89,3.22,61.91,27,30
obs033,Sisodia&Singh,2009,74.76,2.45,0.06,82.59,27,25
obs034,Sisodia&Singh,2009,1.32,0.05,0.07,1.33,27,25
obs035,Sisodia&Singh,2009,7.89,0.89,0.92,8.06,27,30
obs036,Sisodia&Singh,2009,10.33,2.19,2.9,15.34,27,30
obs037,Sisodia&Singh,2009,51.85,3.15,3.18,52.78,25,30
obs038,Sisodia&Singh,2009,76.21,2.96,3.43,69.25,25,30
obs039,Sisodia&Singh,2009,1.47,0.03,0.08,1.31,25,30
obs040,Sisodia&Singh,2009,7.21,0.82,0.889,7.51,25,30
obs041,Sisodia&Singh,2009,29.5,3.08,4.24,35.16,25,30
obs042,Sisodia&Singh,2009,46.56,7.9,9.07,57.98,25,30
obs043,Sisodia&Singh,2009,50.04,3.15,3.29,52.78,19,30
obs044,Sisodia&Singh,2009,66.43,2.96,3.2,69.25,19,30
obs045,Sisodia&Singh,2009,1.32,0.03,0.06,1.31,19,30
obs046,Sisodia&Singh,2009,7.34,0.82,0.83,7.51,19,30
obs047,Sisodia&Singh,2009,30.01,3.08,3.67,35.16,19,30
obs048,Sisodia&Singh,2009,52.78,7.9,8.36,57.98,19,30
obs049,Sunday et al,2011,97.6,8.76,10.95,100.6,10,10
obs050,Sunday et al,2011,491.4,205.72,234.79,501.1,10,10
obs051,Eads et al ,2012,132.4,33.3,59.9,83.7,18,18
obs052,Eads et al ,2012,7.9,2.4,1.9,10.3,18,18
obs053,Eads et al ,2012,1311.2,119.4,111.8,1485.9,18,18
obs054,Semlitsch,1993,11.16,5.59,2.94,24.55,10,10
obs055,Semlitsch,1993,388.6,65.74,84.51,481.4,10,10
obs056,Semlitsch,1993,100.19,8.5,49.98,54.15,10,10
obs057,Kasule,1990,106.8,1.01,1.01,131.8,26,26
obs058,Kasule,1990,86,1,1,120,26,26
obs059,Pakkasmaa et al,2003,19.07,,,19.76,30,30
obs060,Sommer&Pearman,1993,575.1,69.43,93.91,457.2,8,8
obs061,Sommer&Pearman,1993,94.8,2.89,8.05,34.9,8,8
obs062,Fairbanks et al 2011,2011,66.91,15.3583658,10.87158567,52.78,106,106
obs063,Shama et al,2014,15.26325,1.213489,1.228849,15.44623,22,22
obs064,Shama et al,2014,16.69164,1.601236,1.462111,15.47859,20,20
obs065,Shama et al,2014,15.726,1.519346,1.18662,15.85014,22,22
obs066,Shama et al,2014,16.69262,1.319338,1.329234,16.2475,18,18
obs067,Shama et al,2014,20.45349,1.324376,1.232728,21.70316,22,22
obs068,Shama et al,2014,21.84509,1.62187,1.574181,22.11478,20,20
obs069,Shama et al,2014,20.38025,1.907232,1.595652,22.80543,22,22
obs070,Shama et al,2014,21.98095,2.095448,1.679873,22.74524,18,18
obs071,Clark et al ,2014,9.46,0.49,0.57,9.7,24,24
obs072,Clark et al ,2014,9.42,0.49,0.5,9.7,24,24
obs073,Clark et al ,2014,80.61,4.68,8.91,71.16,24,24
obs074,Clark et al ,2014,77.54,4.68,11.03,71.16,24,24
obs075,Clark et al ,2014,9.64,0.47,0.48,9.83,24,24
obs076,Clark et al ,2014,9.59,0.47,0.53,9.83,24,24
obs077,Clark et al ,2014,75.34,4.12,5.7,70.69,24,24
obs078,Clark et al ,2014,75.26,4.12,8.96,70.69,24,24
obs079,Clark et al ,2014,9.61,0.53,0.49,9.84,24,24
obs080,Clark et al ,2014,9.14,0.53,0.54,9.84,24,24
obs081,Clark et al ,2014,76.99,4.34,5.79,70.61,24,24
obs082,Clark et al ,2014,82.9,4.34,9.83,70.61,24,24
obs083,Clark et al ,2014,9.71,0.55,0.51,9.86,24,24
obs084,Clark et al ,2014,9.22,0.55,0.52,9.86,24,24
obs085,Clark et al ,2014,73.45,4.83,5.96,70.22,24,24
obs086,Clark et al ,2014,76.9,4.83,10.01,70.22,24,24
obs087,Charmantier et al ,2004,15.85,0.6,0.65,16.02,224,91
obs088,Ernande et al,2004,1.19873,1.206772555,0.810246876,3.50759,6,6
obs089,Dupont-Nivet et al,2008,358.5,139.4,71.7,516.6,33,33
obs090,Dupont-Nivet et al,2008,26.4,2.9,1.7,28.2,33,33
obs091,Dupont-Nivet et al,2008,1.93,0.32,0.13,2.25,33,33
obs092,Bentsen et al ,2012,69,25.3,18.13,77.75,99,99
obs093,Khaw et al,2012,146.5,104.2,77.8,222.9,175,177
obs094,Khaw et al,2012,15.6,3.2,2.8,17.9,175,177
obs095,Khaw et al,2012,6.5,1.5,1.3,7.5,175,177
obs096,Khaw et al,2012,2.8,0.69,0.61,3.4,175,177
obs097,Guan et al,2016,253.21,74.15,96.22,205.97,45,45
obs098,Guan et al,2016,17.53,2.24,2.28,17.23,45,45
obs099,Guan et al,2016,4,0.57,0.69,3.88,45,45
obs100,Sae-Lim et al,2014,395.15,94.7,75.84,546.82,58,58
obs101,Sae-Lim et al,2014,524.28,94.7,105.17,546.82,58,58
obs102,Sae-Lim et al,2014,376.39,94.7,81.72,546.82,58,58
obs103,Sae-Lim et al,2014,1.73,0.18,0.16,2.07,58,58
obs104,Sae-Lim et al,2014,1.75,0.18,0.2,2.07,58,58
obs105,Sae-Lim et al,2014,1.43,0.18,0.19,2.07,58,58
obs106,Beacham,1987,127.45,1.72,3.68,76.15,5,5
obs107,Beacham,1987,196.1,1.54,6.03,124,5,5
obs108,Beacham,1987,18.9,0.74,1.45,21.15,5,5
obs109,Beacham,1987,166.95,19.34,17.44,180.9,5,5
obs110,Beacham,1987,110.4,15.63,13.75,107.05,5,5
obs111,Beacham,1987,56.55,10.36,9.53,73.9,5,5
obs112,Beacham,1987,30.1,1.27,1.58,31.6,5,5
obs113,Beacham,1987,250.35,29.01,29.09,271.65,5,5
obs114,Beacham,1987,30.85,11.1,11.09,27.5,5,5
obs115,Beacham,1987,219.45,27.78,32.75,244.15,5,5
obs116,Beacham,1987,47.25,1.72,1.44,76.15,5,5
obs117,Beacham,1987,81.75,1.54,1.63,124,5,5
obs118,Beacham,1987,19.95,0.74,0.81,21.15,5,5
obs119,Beacham,1987,163,19.34,22.66,180.9,5,5
obs120,Beacham,1987,108.55,15.63,12.57,107.05,5,5
obs121,Beacham,1987,54.45,10.36,18.04,73.9,5,5
obs122,Beacham,1987,29.9,1.27,1.01,31.6,5,5
obs123,Beacham,1987,217.1,29.01,28.23,271.65,5,5
obs124,Beacham,1987,31.45,11.1,13.12,27.5,5,5
obs125,Beacham,1987,185.7,27.78,25.96,244.15,5,5
obs126,Beacham,1987,151,2.29,4.56,70.3,5,5
obs127,Beacham,1987,246.1,3.45,5.22,118.4,5,5
obs128,Beacham,1987,21.25,1.11,1.11,22.1,5,5
obs129,Beacham,1987,244.7,32.52,32.23,258.9,5,5
obs130,Beacham,1987,159.1,24.61,27.67,161.6,5,5
obs131,Beacham,1987,85.55,17.62,16.68,97.3,5,5
obs132,Beacham,1987,33.7,1.27,1.46,34,5,5
obs133,Beacham,1987,357.3,44.54,46.86,379.3,5,5
obs134,Beacham,1987,40.55,15.46,17.42,43.25,5,5
obs135,Beacham,1987,316.75,39.61,40.14,336,5,5
obs136,Beacham,1987,39,2.29,0.89,70.3,5,5
obs137,Beacham,1987,74.85,3.45,2.55,118.4,5,5
obs138,Beacham,1987,21.05,1.12,0.83,22.1,5,5
obs139,Beacham,1987,245.1,32.52,30.68,258.9,5,5
obs140,Beacham,1987,167.35,24.61,25.15,161.6,5,5
obs141,Beacham,1987,77.7,17.62,11.2,97.3,5,5
obs142,Beacham,1987,32.15,1.28,2.06,34,5,5
obs143,Beacham,1987,319.65,44.54,54.62,379.3,5,5
obs144,Beacham,1987,42.9,15.46,17.12,43.25,5,5
obs145,Beacham,1987,276.8,39.61,55.02,336,5,5
obs146,Schade et al,2014,37.24051,3.42,3.61,37.60526,10,10
obs147,Schade et al,2014,0.4006962,0.13,0.13,0.4155263,10,10
obs148,Schade et al,2014,0.7538228,0.11,0.09,0.7656316,10,10
obs149,Schade et al,2014,37.06832,3.58,4.07,37.17687,10,10
obs150,Schade et al,2014,0.373354,0.12,0.13,0.3885714,10,10
obs151,Schade et al,2014,0.7118323,0.11,0.1,0.7401156,10,10
obs152,Keena et al,1998,2.99,,,3.8,40,40
obs153,Keena et al,1998,3,,,3.83,40,40
obs154,Keena et al,1998,1.47,,,2.87,39,38
obs155,Keena et al,1998,1.87,,,3.18,40,40
obs156,Santana et al,2014,30.07,4.91,4.36,32.51,360,357
obs157,Santana et al,2014,182.54,35.67,33.59,205.88,370,369
obs158,Evans et al,2015,12.53,0.57,0.71,14.38,31,31
obs159,Evans et al,2015,0.24,1.14,5,6.69,31,31
obs160,Evans et al,2015,0.34,0.86,1.57,1.21,31,31
obs161,Evans et al,2015,2.49,1.14,1.29,4.59,31,31
obs162,Evans et al,2015,2.9,1.71,3,7.9,31,31
obs163,Evans et al,2015,2.36,1.29,1.43,4.42,31,31
obs164,Evans et al,2015,1.41,0.86,1.71,3.5,31,31
obs165,Evans et al,2015,63.28,13.43,13,82.15,31,31
obs166,Evans et al,2015,0.62,0.14,0.14,0.75,31,31
obs167,Evans et al,2015,2.06,1.29,2.43,3.79,31,31
obs168,Evans et al,2015,3.97,0.14,0.13,3.96,31,31
obs169,Evans et al,2015,2.38,0.29,0.29,2.88,31,31
obs170,Evans et al,2015,48.28,1.14,1.14,47.47,31,31
obs171,Evans et al,2015,54.63,1.29,1.14,54.31,31,31
obs172,Nystrand et al ,2011,6.632,0.209,0.301,6.376,8,8
obs173,Nystrand et al ,2011,0.643,0.052,0.092,0.683,8,8
obs174,Nystrand et al ,2011,0.031,0.004,0.005,0.032,8,8
obs175,Nystrand et al ,2011,5.952,0.19,0.322,6.061,8,8
obs176,Nystrand et al ,2011,0.642,0.073,0.102,0.727,8,8
obs177,Nystrand et al ,2011,0.092,0.029,0.029,0.137,8,8
obs178,Rauter&Moore,2002,157.815,,,304.097,61,61
obs179,Rauter&Moore,2002,322.307,,,377.542,65,65
obs180,Rauter&Moore,2002,302.883,,,352.049,51,51
obs181,Rauter&Moore,2002,5.70115,,,6.02299,65,65
obs182,Rauter&Moore,2002,22.8046,,,23.2644,64,64
obs183,Rauter&Moore,2002,36.6437,,,36.6437,64,64
obs184,Heerwarden&Sgro,2014,7.051724,2.287385329,0.707106781,10.99281,278,316
obs185,Sousa et al,2012,199.7,35.79,36.89,188.33,167,167
obs186,McLaren et al,2012,3.64,0.7,0.76,3.95,30,30
obs187,McLaren et al,2012,18.01,3.45,4.08,16.95,30,30
obs188,McLaren et al,2012,26.82,5.18,4.66,28.09,30,30
obs189,McLaren et al,2012,0.16,0.11,0.09,0.17,30,30
obs190,McLaren et al,2012,2.01,0.25,0.26,2.02,30,30
obs191,McLaren et al,2012,16.57,2.28,2.57,18.68,30,30
obs192,McLaren et al,2012,10.15,1.46,1.64,11.12,30,30
obs193,McLaren et al,2012,2.54,0.6,0.61,3.07,30,30
obs194,Alcapan et al,2007,5.2,2.3,2.2,7.1,19,19
obs195,Alcapan et al,2007,8.3,3.3,2.5,11.6,19,19
obs196,Alcapan et al,2007,11.7,3.7,3.3,14.3,19,19
obs197,Alcapan et al,2007,15.2,5.3,4.1,22,19,19
obs198,Alcapan et al,2007,37,5.2,5.3,42,19,19
obs199,Alcapan et al,2007,44.2,5.3,4.7,49.5,19,19
obs200,Alcapan et al,2007,49.3,5.2,4.6,53.4,19,19
obs201,Alcapan et al,2007,54.2,5.8,5.1,60.4,19,19
obs202,Gebhardt-Henrich&Marks,1993,20.1,,,20.7,20,20
obs203,Gebhardt-Henrich&Marks,1993,6.1,,,6.3,20,20
obs204,Gebhardt-Henrich&Marks,1993,7.2,,,7.3,20,20
obs205,Edvardsson et al,2009,18.04633333,3.18,12.02,12.62881731,52,52
obs206,Reale et al,1999,61.46,8.44,11.76,72.8,84,68
obs207,Coltman et al,2001,1.33,0.82,0.87,1.63,456,456
obs208,Coltman et al,2001,1.54,0.83,1.14,0.92,456,456
obs209,Bubliy et al,2000,72.94,2.82,5.1,100.01,45,45
obs210,Bubliy et al,2000,101.93,3.04,6.71,130.84,45,45
obs211,Bubliy et al,2000,8.98,1.21,1.03,10.39,45,45
obs212,Bubliy & LoeschckeA,2000,97.16,3.01,4.29,106.94,90,90
obs213,Bubliy & LoeschckeA,2000,136.02,3.71,4.72,160.33,90,90
obs214,Bubliy & LoeschckeA,2000,8.63,1.16,1.5,9.78,90,90
obs215,Bubliy & LoeschckeA,2000,7.6,0.23,0.22,9.05,90,90
obs216,Bubliy & LoeschckeA,2000,0.617,0.09,0.24,0.937,90,90
obs217,Bubliy & LoeschckeB,2002,104,2.79,3.72,107.85,90,90
obs218,Bubliy & LoeschckeB,2002,176.64,3.72,9.3,157.12,90,90
obs219,Bubliy & LoeschckeB,2002,8.9,1.16,1.63,9.51,90,90
obs220,Bubliy & LoeschckeB,2002,41.43,0.23,2.32,8.69,90,90
obs221,Bubliy & LoeschckeB,2002,0.743,0.07,0.19,0.961,90,90
obs222,Janhunen et al,2010,38.8,19.1,25.7,62.5,30,30
obs223,Janhunen et al,2010,23.3,0.9,0.8,25.3,24,24
obs224,Janhunen et al,2010,43.3,9.6,7.3,35.8,24,24
obs225,Laugen et al,2005,42.5,,,38.9,48,48
obs226,Laugen et al,2005,0.378,,,0.643,48,48
obs227,Laugen et al,2005,8.873,,,17.426,48,48
obs228,Gebhardt&Stearns,1992,17.13,,,8.69,6,6
obs229,Gebhardt&Stearns,1992,0.149,,,0.303,6,6
obs230,Gebhardt&Stearns,1992,0.127,,,0.223,6,6
obs231,Rogell et al,2012,91.425,12.57974,18.01164,95.1,46,46
obs232,Sisodia&Singh,2009,57.61,2.89,4.66,61.91,73,90
obs233,Sisodia&Singh,2009,85.37,2.45,3.4,82.59,73,90
obs234,Sisodia&Singh,2009,1.48,0.05,0.05,1.33,73,90
obs235,Sisodia&Singh,2009,7.58,0.89,0.94,8.06,73,90
obs236,Sisodia&Singh,2009,9.47,2.19,3.07,15.34,73,90
obs237,Sisodia&Singh,2009,56.52,2.89,3.22,61.91,81,90
obs238,Sisodia&Singh,2009,74.76,2.45,0.06,82.59,81,90
obs239,Sisodia&Singh,2009,1.32,0.05,0.07,1.33,81,90
obs240,Sisodia&Singh,2009,7.89,0.89,0.92,8.06,81,90
obs241,Sisodia&Singh,2009,10.33,2.19,2.9,15.34,81,90
obs242,Sisodia&Singh,2009,51.85,3.15,3.18,52.78,73,90
obs243,Sisodia&Singh,2009,76.21,2.96,3.43,69.25,73,90
obs244,Sisodia&Singh,2009,1.47,0.03,0.08,1.31,73,90
obs245,Sisodia&Singh,2009,7.21,0.82,0.889,7.51,73,90
obs246,Sisodia&Singh,2009,29.5,3.08,4.24,35.16,73,90
obs247,Sisodia&Singh,2009,46.56,7.9,9.07,57.98,73,90
obs248,Sisodia&Singh,2009,50.04,3.15,3.29,52.78,61,90
obs249,Sisodia&Singh,2009,66.43,2.96,3.2,69.25,61,90
obs250,Sisodia&Singh,2009,1.32,0.03,0.06,1.31,61,90
obs251,Sisodia&Singh,2009,7.34,0.82,0.83,7.51,61,90
obs252,Sisodia&Singh,2009,30.01,3.08,3.67,35.16,61,90
obs253,Sisodia&Singh,2009,52.78,7.9,8.36,57.98,61,90
obs254,Sunday et al,2011,97.6,8.76,10.95,100.6,4,4
obs255,Sunday et al,2011,491.4,205.72,234.79,501.1,10,10
obs256,Eads et al ,2012,132.4,33.3,59.9,83.7,16,16
