obs_ID,study_ID,year_pub,C_mean,C_sd,C_n,T_mean,T_sd,T_n
obs001,Schmiede et al,2012,1.882074606,2.533929148,10,0.205314193,0.111005071,5
obs002,Schmiede et al,2012,1.882074606,2.533929148,10,0.316433349,0.363884278,5
obs003,Schmiede et al,2012,1.882074606,2.533929148,10,1.176892583,1.361915901,5
obs004,Schmiede et al,2012,1.882074606,2.533929148,10,0.56861435,1.157367123,5
obs005,Schmiede et al,2012,1.882074606,2.533929148,10,0.503502254,1.125865267,5
obs006,Schmiede et al,2012,0.223630852,0.442596743,10,1.467410944,1.33577295,5
obs007,Schmiede et al,2012,0.223630852,0.442596743,10,0.37059018,0.371158741,5
obs008,Schmiede et al,2012,0.223630852,0.442596743,10,0.898329373,1.1330446,5
obs009,Schmiede et al,2012,0.223630852,0.442596743,10,0.408080084,0.592201605,5
obs010,Rasran et al,2007,3,6,6,3,4,6
obs011,Rasran et al,2007,1,2,6,7,4,6
obs012,Rasran et al,2007,4,4,6,6,5,6
obs013,Rasran et al,2007,0.001679167,0.004893206,24,0.007445833,0.015353232,24
obs014,Rasran et al,2007,0.001395833,0.004353957,24,0.006833333,0.013525971,24
obs015,Rasran et al,2007,0.0065875,0.009024426,24,0.015333333,0.035092123,24
obs016,Rasran et al,2007,0.068329167,0.175764372,24,0.019645833,0.024711606,24
obs017,Rasran et al,2007,0.015558333,0.028679851,24,0.007545833,0.009980545,24
obs018,Rasran et al,2007,0.068979167,0.196606774,24,0.018375,0.070113698,24
obs019,Rasran et al,2007,0,0,24,0,0,24
obs020,Rasran et al,2007,2,3,24,0,0,24
obs021,Rasran et al,2007,1,2,6,3,4,6
obs022,Rasran et al,2007,0,0,6,1,1,6
obs023,Rasran et al,2007,1,1,6,9,12,6
obs024,Rasran et al,2007,0,1,6,2,3,6
obs025,Rasran et al,2007,4,6,6,3,4,6
obs026,Rasran et al,2007,0.025958333,0.123104526,24,0.0169375,0.02189947,24
obs027,Rasran et al,2007,0.000945833,0.003278518,24,0.002558333,0.005559083,24
obs028,Rasran et al,2007,0.04575,0.067809112,24,0.025929167,0.033319657,24
obs029,Rasran et al,2007,0.002333333,0.011430952,24,0.092154167,0.209781663,24
obs030,Rasran et al,2007,1,1,6,4,5,6
obs031,Rasran et al,2007,3,4,6,3,2,6
obs032,Rasran et al,2007,1,1,6,6,6,6
obs033,Rasran et al,2007,6,3,6,4,2,6
obs034,Rasran et al,2007,0.107925,0.207282542,24,0.0403625,0.099483286,24
obs035,Rasran et al,2007,0.456675,1.299574699,24,0.311870833,0.664202907,24
obs036,Rasran et al,2007,2,2,6,7,5,6
obs037,Rasran et al,2007,6,9,6,9,7,6
obs038,Rasran et al,2007,0.049708333,0.085605668,24,0.0901125,0.219673341,24
