year_pub,C_mean,C_sd,C_n,T_mean,T_sd,T_n,obs_ID,study_ID
2003,8.2,0.692820323,3,18,1.558845727,3,obs001,Altamirano et al 2003
2003,8.1,0.346410162,3,17.9,0.692820323,3,obs002,Altamirano et al 2003
2003,3.7,1.039230485,3,13,1.558845727,3,obs003,Altamirano et al 2003
2011,54.2,1.118033989,5,39.3,29.06888371,5,obs004,Anlauf et al 2011
2013,12.8,5.275414676,23,9.5,2.397915762,23,obs005,Arnberg et al 2013
2013,98.7,5.275414676,23,96.1,9.112079894,23,obs006,Arnberg et al 2013
2013,0.99,0.158745079,7,0.79,0.185202592,7,obs007,Arnberg et al 2013
2013,49.99,5.317960135,7,58.16,11.64130577,7,obs008,Arnberg et al 2013
1995,191.4,10.73312629,80,188.7,11.62755348,80,obs009,Bressan et al 1995
1995,84.5,6.6,4,80.5,7.6,4,obs010,Bressan et al 1995
2009,80.8,5.888972746,3,20.3,6.75499815,3,obs011,Byrne et al 2009
2009,82.7,3.464101615,3,5,3.117691454,3,obs012,Byrne et al 2009
2011,59.8,31.30654884,10,23,32.25523213,10,obs013,Byrne et al 2011
2013,89.2,4.654030511,6,75.5,7.348469228,6,obs014,Byrne et al 2013a
2013,68.7,21.6,9,44.6,26.7,9,obs015,Byrne et al 2013a
2013,100,0,6,68.1,4.409081537,6,obs016,Byrne et al 2013a
2013,64.8,2.939387691,6,51.1,4.654030511,6,obs017,Byrne et al 2013a
2013,96,4.2,4,77.5,13.8,4,obs018,Byrne et al 2013a
2013,402.3,12,4,353.3,23.4,4,obs019,Byrne et al 2013a
2013,93,4.364768035,12,90,7.517100505,12,obs020,Byrne et al 2013b
2013,78,26.91606955,12,52,45.37973116,12,obs021,Byrne et al 2013b
2013,0.25,0.022627417,32,0.3,0.056568542,32,obs022,Byrne et al 2013b
2013,95,3.931513703,8,87,10.63488599,8,obs023,Byrne et al 2013c
2013,98,2.71529004,8,89,4.440630586,8,obs024,Byrne et al 2013c
2013,377,38.4666089,8,473,21.77888886,8,obs025,Byrne et al 2013c
2003,38,6.92820323,3,43,20.78460969,3,obs026,Cancino et al 2003
2003,11.8,0,3,11.4,0,3,obs027,Cancino et al 2003
2003,47,0,3,46.3,0,3,obs028,Cancino et al 2003
2003,564,164.5448267,3,466,240.7550623,3,obs029,Cancino et al 2003
2012,16,0.692820323,3,4.6,0.519615242,3,obs030,Chu et al 2012
2012,92.6,7.967433715,3,94.1,6.75499815,3,obs031,Chu et al 2012
2012,16,0.692820323,3,8.9,0.173205081,3,obs032,Chu et al 2012
2012,92.6,7.967433715,3,94.5,6.75499815,3,obs033,Chu et al 2012
2012,16,0.692820323,3,8.9,0.173205081,3,obs034,Chu et al 2012
2012,92.6,7.967433715,3,94.5,6.75499815,3,obs035,Chu et al 2012
