obs_ID,study_ID,year_pub,T_mean,C_mean,T_n,C_n,T_sd,C_sd
obs001,Abdallah et al (2008),2008,1546,641.1,24,24,836.6,44.4
obs002,Abdallah & Chieb (2010),2010,1297.6,213.6,72,12,5414.2,358.9
obs003,Abdallah & Chieb (2010),2010,1535.5,142.4,72,12,6224.6,269.2
obs004,Abdallah & Chieb (2010),2010,1347.1,45.3,72,12,5669,0
obs005,Abdallah & Chieb (2010),2010,1511.9,84.1,72,12,6079.3,560.5
obs006,Abdallah & Chieb (2010),2010,1520.7,77.7,72,12,6099.1,604.9
obs007,Abdallah & Chieb (2010),2010,1092.8,252.4,72,12,3236.8,224.1
obs008,Abdallah & Chieb (2010),2010,592.5,97.1,72,12,803.5,112.1
obs009,Abdallah & Chieb (2010),2010,590.2,97.1,72,12,784.6,157
obs010,Abdallah & Chieb (2010),2010,614.2,116.3,72,12,768.1,134.5
obs011,Abule et al (2005),2005,3078.8,2396.3,20,20,443.9,410.7
obs012,Anderson et al (2001),2001,15,63,7,7,10.6,23.8
obs013,Andrade (2008),2008,9.7,10.4,3,3,1.7,1.1
obs014,Awada et al (2003),2003,1745.6,2071.4,3,3,373.3,460.1
obs015,Bahamonde et al (2012),2012,479.7,846.8,4,4,450.1,457.5
obs016,Belsky (1992),1992,595.9,500.9,4,4,100,70
obs017,Belsky (1992),1992,848.3,579.3,4,4,142.1,81.2
obs018,Belsky (1992),1992,685.9,310.3,4,4,132,60.9
obs019,Belsky (1992),1992,728.4,398.4,4,4,90,60
obs020,Belsky et al (1993) a,1993,745.3,532.8,7,7,218.8,166.6
obs021,Belsky et al (1993) b,1993,590,47,4,4,994,66
obs022,Belsky et al (1993) b,1993,696,488,4,4,156,132
obs023,Belsky et al (1993) b,1993,845,588,4,4,132,76
obs024,Belsky et al (1993) b,1993,753,482,4,4,104,72
obs025,Belsky (1994),1994,604,456,5,5,97.5,52.5
obs026,Belsky (1994),1994,648,343,5,5,53,42.8
obs027,Burner & Brauer (2003),2003,1.3,1.2,3,3,0.4,0.3
obs028,Callaway et al (1991),1991,1.1,0.7,3,3,0.2,0.1
obs029,Callaway et al (1991),1991,1.3,0.8,3,3,0.2,0.1
obs030,Clavijo et al (2010),2010,17.1,21.7,4,4,7.1,7.4
obs031,Dubbert et al (2014),2014,48,49.3,5,5,22.8,14.8
obs032,Dube et al (2011),2011,2913,3172.5,3,3,711,979.5
obs033,Durr & Rangel (2002),2002,294.6,125.9,3,3,76.2,67.1
obs034,Feldhake et al (2010),2010,6779,11431.5,2,2,1012.6,1723.2
obs035,Fernandez et al (2008),2008,1.5,1.4,5,5,0.6,1.4
obs036,Grouzis & Akpo (1997),1997,119,29,4,4,16,6
obs037,Grouzis & Akpo (1997),1997,379.9,192.4,20,13,439,96.2
obs038,Grouzis & Akpo (1997),1997,377.1,165.7,20,11,378.1,50.3
obs039,Grouzis & Akpo (1997),1997,377.1,163.8,15,10,323.7,42.3
obs040,Grouzis & Akpo (1997),1997,626.8,428.8,15,6,847.3,83.6
