obs_ID,study_ID,year_pub,C_n,T_n,C_mean,T_mean,C_sd,T_sd
obs001,39,2009,75,57,169.76,110.91,49.29,59.162995
obs002,39,2009,76,57,172.69737,114.67,64,55.215595
obs003,39,2009,75,57,290.81333,287.35,50.67,66.003921
obs004,39,2009,76,57,290.01316,294.37,61.64,55.570622
obs005,106,1983,49,40,156.3,157.9,28.7,23.40085469
obs006,106,1983,37,33,172.2,186.6,25.54760263,25.85053191
obs007,12,2006,12,12,74.1,69,16.97409791,28.05922308
obs008,12,2006,12,10,74.1,69.7,16.97409791,37.31487639
obs009,12,2006,12,10,74.1,71.3,16.97409791,23.71708245
obs010,12,2006,12,12,74.1,82.9,16.97409791,21.13101985
obs011,12,2006,11,10,90.3,88.6,28.5229732,15.8113883
obs012,12,2006,11,9,90.3,99.9,28.5229732,23.1
obs013,12,2006,11,8,90.3,92.2,28.5229732,11.03086579
obs014,12,2006,11,10,90.3,103.4,28.5229732,32.5714599
obs015,57,1983,30,30,48.63333,44.77,20.02,15.953993
obs016,57,1983,30,30,39.26667,35.47,4.71,25.469026
obs017,94,2010,29,31,569.8,552.4,165.32,132.51
obs018,25,2001,19,13,97,86,21.79449472,14.4222051
obs019,25,2001,15,12,76,73,11.61895004,10.39230485
obs020,92,2009,25,36,770.64,861.11,126.58,185.195307
obs021,92,2009,25,25,770.64,793.64,126.58,164.009878
obs022,100,2003,367,210,26.6812,25.77,8.08,7.943288
obs023,83,2009,62,57,41.29032,39.4,11.33,13.581578
obs024,83,2009,56,52,24.80357,26.63,8.49,7.472902
obs025,83,2009,52,55,45.53846,45.36,16.72,17.701604
obs026,83,2009,59,61,42.61017,49.54,18.54,19.076664
obs027,28,2012,180,115,32.43,18.72,11.67227484,10.83104335
obs028,28,2012,16,23,29.19,20.83,12.96,11.70182892
obs029,40,2013,157,183,18.34395,19.5847,8.11,8.323288
obs030,40,2013,157,218,18.34395,18.1789,8.11,8.005765
obs031,40,2013,77,77,15.5,15.4,15.7949359,13.16244658
obs032,40,2013,77,77,15.5,18.3,15.7949359,17.54992877
obs033,40,2013,276,296,21.12319,21.38514,9.51,8.854396
obs034,40,2013,276,244,21.12319,18.40984,9.51,7.962623
obs035,40,2013,77,77,20.1,21.9,9.652460826,10.52995726
obs036,40,2013,77,77,20.1,17.9,9.652460826,9.652460826
obs037,68,2010,68,65,29.91176,28.11,10.69,8.01
obs038,68,2010,67,63,21.10448,20.87,5.61,6.675647
obs039,68,2010,60,63,26.08333,30.57,10.04,9.020969
obs040,68,2010,73,63,19.53425,19.83,6.16,5.726395
obs041,14,2004,24,24,765,568,107.7775487,176.3632615
obs042,14,2004,24,24,715,517,102.8785692,171.464282
obs043,14,2004,24,24,765,814,107.7775487,122.4744871
obs044,14,2004,24,24,715,807,102.8785692,137.1714256
obs045,101,1991,17,25,28.5,25.6,31.74791332,41.5
obs046,101,1991,17,25,28.5,20.8,31.74791332,39.5
obs047,101,1991,17,25,28.5,27.1,31.74791332,38
obs048,101,1991,17,25,28.5,32.7,31.74791332,53.5
obs049,101,1991,25,25,23.6,26.3,39,42
obs050,101,1991,25,25,23.6,24.7,39,49.5
obs051,101,1991,25,25,23.6,24.2,39,56
obs052,101,1991,25,25,23.6,35.8,39,51
obs053,107,2005,34,19,14.64706,10.94737,5.58,3.978745
obs054,109,2015,94,95,85.468,91.284,12.74,9.831
obs055,109,2015,85,86,75.565,81.651,11.58,11.164
obs056,109,2015,19,19,43.105,46.526,14.04,12.379
obs057,109,2015,19,18,59.894,61.833,12.1,13.24
obs058,109,2015,19,20,57.631,59.25,15.44,12.012
obs059,63,2013,110,111,19.98182,16.96396,7.62,7.209751
obs060,91,2009,60,38,42.36667,45.39474,9.03,8.57255
obs061,91,2009,60,28,42.36667,42.67857,9.03,9.529889
obs062,91,2009,54,22,53.2037,53.95455,14.27,13.16734
obs063,91,2009,54,37,53.2037,53.2973,14.27,13.173764
obs064,114,2012,24,33,1280.917,1286.182,696.18,742.0867
obs065,114,2012,19,23,1383.158,1718.478,727.86,824.3653
obs066,110,2015,23,26,41.21739,40.57692,18.26,13.90302
obs067,110,2015,34,22,45.76471,43.81818,14.35,15.95719
obs068,110,2015,18,31,46.88889,48.09677,16.82,15.73606
obs069,110,2015,24,27,43.5,48.14815,15.6,11.74964
obs070,41,2014,16,5,105.75,104.8,15.53,26.62142
obs071,41,2014,14,8,101.42857,119.5,13.65,25.75711
obs072,41,2014,17,8,97.94118,99.625,14.84,9.0859
obs073,41,2014,8,7,111.75,114.85714,29.22,28.9219
obs074,41,2014,16,5,25.9375,22,6.88,10.440307
obs075,41,2014,14,8,24.71429,22.625,4.71,9.941795
obs076,41,2014,17,8,23.11765,29.875,7.79,13.431706
obs077,41,2014,8,7,23.25,35.71429,5.63,19.353848
