obs_ID,study_ID,year_pub,C_mean,C_sd,T_mean,T_sd,C_n,T_n
obs001,Castro_Wise_2009,2009,13.12,4.497199128,14,4.5254834,8,8
obs002,Castro_Wise_2009,2009,11.62,2.432447327,12.25,3.761808076,8,8
obs003,Caine&Marion_1991,1991,3.5,1.2,6.8,1.6,3,3
obs004,Hekkala_etal_2014,2014,26,7,95.66667,13.868429,3,3
obs005,Hekkala_etal_2014,2014,26,7,90.33333,10.692677,3,3
obs006,Hekkala_etal_2014,2014,95.67,13.868429,90.33333,10.692677,3,3
obs007,Hekkala_etal_2014,2014,35.67,4.041452,71.33333,5.131601,3,3
obs008,Hekkala_etal_2014,2014,35.67,4.041452,77.33333,14.74223,3,3
obs009,Hekkala_etal_2014,2014,71.33,5.131601,77.33333,14.74223,3,3
obs010,Toivanen_etal_2014,2014,8.89,2.571208103,7.888888889,1.691481928,3,3
obs011,Toivanen_etal_2014,2014,8.89,2.571208103,9.333333333,2.236067977,3,3
obs012,Toivanen_etal_2014,2014,8.89,2.571208103,8.777777778,1.922093766,3,3
obs013,Toivanen_etal_2014,2014,7.89,1.691481928,9.333333333,2.236067977,3,3
obs014,Toivanen_etal_2014,2014,7.89,1.691481928,8.777777778,1.922093766,3,3
obs015,Toivanen_etal_2014,2014,9.33,2.236067977,8.777777778,1.922093766,3,3
obs016,Toivanen_etal_2014,2014,8.22,2.048034288,7.222222222,3.700600552,3,3
obs017,Toivanen_etal_2014,2014,8.22,2.048034288,8.111111111,1.615893286,3,3
obs018,Toivanen_etal_2014,2014,8.22,2.048034288,6,2.783882181,3,3
obs019,Toivanen_etal_2014,2014,7.22,3.700600552,8.111111111,1.615893286,3,3
obs020,Toivanen_etal_2014,2014,7.22,3.700600552,6,2.783882181,3,3
obs021,Toivanen_etal_2014,2014,8.11,1.615893286,6,2.783882181,3,3
obs022,Toivanen_Kotiaho_2007,2007,102.37,4.330127019,131.134,4.851474312,3,3
obs023,Toivanen_Kotiaho_2007,2007,102.37,4.330127019,124.948,10.19138695,3,3
obs024,Toivanen_Kotiaho_2007,2007,102.37,4.330127019,151.856,13.93781285,3,3
obs025,Toivanen_Kotiaho_2007,2007,131.13,4.851474312,124.948,10.19138695,3,3
obs026,Toivanen_Kotiaho_2007,2007,131.13,4.851474312,151.856,13.93781285,3,3
obs027,Toivanen_Kotiaho_2007,2007,124.95,10.19138695,151.856,13.93781285,3,3
obs028,Toivanen_Kotiaho_2007,2007,51.96,4.576078234,90.928,18.21251424,3,3
obs029,Toivanen_Kotiaho_2007,2007,51.96,4.576078234,85.979,12.32007739,3,3
obs030,Toivanen_Kotiaho_2007,2007,51.96,4.576078234,86.907,10.17753055,3,3
obs031,Toivanen_Kotiaho_2007,2007,90.93,18.21251424,85.979,12.32007739,3,3
obs032,Toivanen_Kotiaho_2007,2007,90.93,18.21251424,86.907,10.17753055,3,3
obs033,Toivanen_Kotiaho_2007,2007,85.98,12.32007739,86.907,10.17753055,3,3
obs034,Toivanen_Kotiaho_2007,2007,118.45,6.427640547,136.701,5.916685559,3,3
obs035,Toivanen_Kotiaho_2007,2007,118.45,6.427640547,124.948,12.86740545,3,3
obs036,Toivanen_Kotiaho_2007,2007,118.45,6.427640547,135.155,9.701216573,3,3
obs037,Toivanen_Kotiaho_2007,2007,136.7,5.916685559,124.948,12.86740545,3,3
obs038,Toivanen_Kotiaho_2007,2007,136.7,5.916685559,135.155,9.701216573,3,3
obs039,Toivanen_Kotiaho_2007,2007,124.95,12.86740545,135.155,9.701216573,3,3
obs040,Toivanen_Kotiaho_2007,2007,77.32,2.147743001,103.608,15.53649574,3,3
obs041,Toivanen_Kotiaho_2007,2007,77.32,2.147743001,100.825,1.607343149,3,3
obs042,Toivanen_Kotiaho_2007,2007,77.32,2.147743001,102.99,5.892436847,3,3
obs043,Toivanen_Kotiaho_2007,2007,103.61,15.53649574,100.825,1.607343149,3,3
obs044,Toivanen_Kotiaho_2007,2007,103.61,15.53649574,102.99,5.892436847,3,3
obs045,Toivanen_Kotiaho_2007,2007,100.83,1.607343149,102.99,5.892436847,3,3
obs046,Brazee_etal_2008,2008,19.4,5.459,25,2.345,5,5
obs047,Brazee_etal_2008,2008,18,3.317,30.4,4.561,5,5
obs048,Gossner_etal_2013,2013,15.05,4.263,33.875,7.502,8,8
obs049,Gossner_etal_2013,2013,7.25,2.166,27.619,4.788,8,8
obs050,Hekkala_etal_2015b_plants,2015,8.67,4.434711565,6.375,3.113908889,15,8
obs051,Hekkala_etal_2015b_plants,2015,8.67,4.434711565,8.909090909,4.504543161,15,11
obs052,Hekkala_etal_2015b_plants,2015,6.38,3.113908889,8.909090909,4.504543161,8,11
obs053,Hekkala_etal_2015b_plants,2015,8.67,4.434711565,7.25,2.094364733,15,12
obs054,Hekkala_etal_2015b_plants,2015,8.67,4.434711565,8,1.8516402,15,12
obs055,Hekkala_etal_2015b_plants,2015,7.25,2.094364733,8,1.8516402,12,12
obs056,Hekkala_etal_2015b_plants,2015,8.53,4.611579628,9,3.703280399,15,8
obs057,Hekkala_etal_2015b_plants,2015,8.53,4.611579628,11.90909091,3.910359202,15,11
obs058,Hekkala_etal_2015b_plants,2015,9,3.703280399,11.90909091,3.910359202,8,11
obs059,Hekkala_etal_2015b_plants,2015,8.53,4.611579628,7.583333333,1.880924982,15,12
obs060,Hekkala_etal_2015b_plants,2015,8.53,4.611579628,8.375,1.302470181,15,12
obs061,Hekkala_etal_2015b_plants,2015,7.58,1.880924982,8.375,1.302470181,12,12
obs062,Hekkala_etal_2015b_plants,2015,2.4,1.352246808,1.5,1.069044968,15,8
obs063,Hekkala_etal_2015b_plants,2015,2.4,1.352246808,1,1.095445115,15,11
obs064,Hekkala_etal_2015b_plants,2015,1.5,1.069044968,1,1.095445115,8,11
obs065,Hekkala_etal_2015b_plants,2015,2.4,1.352246808,2.666666667,0.887625365,15,12
obs066,Hekkala_etal_2015b_plants,2015,2.4,1.352246808,2.5,0.755928946,15,12
obs067,Hekkala_etal_2015b_plants,2015,2.67,0.887625365,2.5,0.755928946,12,12
