obs_ID,study_ID,year_pub,T_mean,C_mean,T_sd,C_sd,T_n,C_n
obs001,Day et al. 2003 a,2003,1.08,0.88,0.25,0.28,8,8
obs002,Day et al. 2003 a,2003,1.19,0.88,0.21,0.28,8,8
obs003,Day et al. 2003 a,2003,1.18,0.88,0.14,0.28,8,8
obs004,Day et al. 2003 b,2003,2,0.8,0.11,0.11,5,5
obs005,Day et al. 2003 b,2003,3.17,2.94,0.61,0.69,5,5
obs006,Day et al. 2003 b,2003,7.16,7.53,1.83,0.99,5,5
obs007,Day et al. 2003 b,2003,1.81,0.8,0.19,0.11,5,5
obs008,Day et al. 2003 b,2003,3.77,2.94,0.77,0.69,5,5
obs009,Day et al. 2003 b,2003,7.19,7.53,2.14,0.99,5,5
obs010,Dong et al. 2015,2015,7.96,8.77,0.64,1.16,5,5
obs011,Dong et al. 2015,2015,7.73,8.77,1.03,1.16,5,5
obs012,Garcia-Palacios et al. 2011,2011,834.25,718.23,314.92,331.49,9,9
obs013,Garcia-Palacios et al. 2011,2011,662.98,828.73,414.37,381.22,9,9
obs014,Garcia-Palacios et al. 2011,2011,839.78,651.93,364.64,348.07,9,9
obs015,Garcia-Palacios et al. 2011,2011,828.73,635.36,381.22,215.47,9,9
obs016,Garcia-Palacios et al. 2011,2011,812.16,651.93,513.81,530.39,9,9
obs017,Garcia-Palacios et al. 2011,2011,662.98,767.96,430.94,381.22,9,9
obs018,Garcia-Palacios et al. 2011,2011,801.11,475.14,232.04,232.04,9,9
obs019,Garcia-Palacios et al. 2011,2011,872.93,513.81,364.64,265.19,9,9
obs020,Garcia-Palacios et al. 2014,2014,438.6,416.79,123.39,123.39,8,8
obs021,Garcia-Palacios et al. 2014,2014,557.36,487.08,95.97,267.34,8,8
obs022,Garcia-Palacios et al. 2014,2014,528.28,523.43,116.53,116.53,8,8
obs023,Garcia-Palacios et al. 2014,2014,482.23,651.88,171.37,89.11,8,8
obs024,Gazol et al. 2013,2013,0.06,0.04,0.01,0.01,10,10
obs025,Gazol et al. 2013,2013,0.06,0.04,0.01,0.01,10,10
obs026,Maestre & Reynolds 2006 AoB,2006,1.05,0.61,0.23,0.1,4,4
obs027,Maestre & Reynolds 2006 AoB,2006,2.7,1.38,0.26,0.4,4,4
obs028,Maestre & Reynolds 2006 AoB,2006,1.18,0.66,0.07,0.13,4,4
obs029,Maestre & Reynolds 2006 AoB,2006,3.93,1.23,0.99,0.43,4,4
obs030,Maestre & Reynolds 2006 AoB,2006,1.17,0.64,0.13,0.23,4,4
obs031,Maestre & Reynolds 2006 AoB,2006,2.89,1.51,0.79,0.23,4,4
obs032,Maestre & Reynolds 2006 AoB,2006,1.17,0.57,0.46,0.2,4,4
obs033,Maestre & Reynolds 2006 AoB,2006,3.12,1.28,1.28,0.33,4,4
obs034,Maestre & Reynolds 2006 AoB,2006,1.53,1.17,0.1,0.36,4,4
obs035,Maestre & Reynolds 2006 AoB,2006,3.44,2.01,0.43,0.1,4,4
obs036,Maestre & Reynolds 2006 AoB,2006,1.86,1.53,0.33,0.2,4,4
obs037,Maestre & Reynolds 2006 AoB,2006,3.24,2.45,0.43,0.39,4,4
obs038,Maestre & Reynolds 2006 GCB,2006,356.57,289.4,73.27,42.74,4,4
obs039,Maestre & Reynolds 2006 GCB,2006,356.57,243.61,36.64,36.64,4,4
obs040,Maestre & Reynolds 2006 GCB,2006,304.67,234.45,67.17,30.53,4,4
obs041,Maestre & Reynolds 2006 GCB,2006,356.57,319.94,48.85,36.64,4,4
obs042,Maestre & Reynolds 2006 GCB,2006,658.83,475.64,85.49,85.49,4,4
obs043,Maestre & Reynolds 2006 GCB,2006,591.66,408.48,73.27,30.53,4,4
obs044,Maestre & Reynolds 2006 GCB,2006,616.09,454.27,73.28,18.32,4,4
obs045,Maestre & Reynolds 2006 GCB,2006,722.94,567.24,128.23,18.32,4,4
obs046,Maestre & Reynolds 2006 GCB,2006,368.78,316.88,42.74,61.06,4,4
obs047,Maestre & Reynolds 2006 GCB,2006,408.48,304.67,54.96,12.21,4,4
obs048,Maestre & Reynolds 2006 GCB,2006,344.36,280.24,61.06,61.06,4,4
obs049,Maestre & Reynolds 2006 GCB,2006,423.74,310.78,73.27,12.21,4,4
obs050,Maestre & Reynolds 2006 GCB,2006,848.12,631.35,73.27,12.21,4,4
obs051,Maestre & Reynolds 2006 GCB,2006,842.02,600.82,79.38,18.32,4,4
obs052,Maestre & Reynolds 2006 GCB,2006,726,509.23,30.53,54.96,4,4
obs053,Maestre & Reynolds 2006 GCB,2006,875.6,616.09,146.55,24.42,4,4
obs054,Maestre & Reynolds 2007 Eco,2007,335.49,272.06,38.06,19.03,4,4
obs055,Maestre & Reynolds 2007 Eco,2007,440.16,272.06,31.72,31.72,4,4
obs056,Maestre & Reynolds 2007 Eco,2007,440.16,313.29,50.75,31.72,4,4
obs057,Maestre & Reynolds 2007 Eco,2007,586.06,497.25,57.09,31.72,4,4
obs058,Maestre & Reynolds 2007 Eco,2007,674.86,620.94,57.09,44.4,4,4
obs059,Maestre & Reynolds 2007 Eco,2007,785.87,643.15,38.06,44.4,4,4
obs060,Maestre & Reynolds 2007 Eco,2007,620.94,509.93,82.46,50.75,4,4
obs061,Maestre & Reynolds 2007 Eco,2007,893.71,703.41,88.81,38.06,4,4
obs062,Maestre & Reynolds 2007 Eco,2007,966.66,865.16,145.9,50.75,4,4
obs063,Maestre & Reynolds 2007 Eco,2007,373.55,316.46,50.75,50.75,4,4
obs064,Maestre & Reynolds 2007 Eco,2007,532.14,364.04,82.46,44.4,4,4
obs065,Maestre & Reynolds 2007 Eco,2007,538.48,421.13,57.09,19.03,4,4
obs066,Maestre & Reynolds 2007 Eco,2007,560.68,449.67,63.43,19.03,4,4
obs067,Maestre & Reynolds 2007 Eco,2007,712.92,551.17,44.4,63.43,4,4
obs068,Maestre & Reynolds 2007 Eco,2007,839.79,655.83,57.09,50.75,4,4
obs069,Maestre & Reynolds 2007 Eco,2007,551.17,449.67,76.12,44.4,4,4
obs070,Maestre & Reynolds 2007 Eco,2007,674.86,617.77,57.09,76.12,4,4
obs071,Maestre & Reynolds 2007 Eco,2007,947.63,744.64,158.58,63.43,4,4
obs072,Maestre & Reynolds 2007 Oec,2007,216.43,150.56,42.05,22.42,4,4
obs073,Maestre & Reynolds 2007 Oec,2007,280.9,167.38,50.45,14.01,4,4
obs074,Maestre & Reynolds 2007 Oec,2007,230.45,158.97,28.03,30.83,4,4
obs075,Maestre & Reynolds 2007 Oec,2007,370.6,289.31,30.83,64.47,4,4
obs076,Maestre & Reynolds 2007 Oec,2007,243.06,149.16,92.5,39.24,4,4
obs077,Maestre & Reynolds 2007 Oec,2007,446.28,377.61,42.05,33.64,4,4
obs078,Maestre & Reynolds 2007 Oec,2007,372,363.59,47.65,33.64,4,4
obs079,Maestre & Reynolds 2007 Oec,2007,419.65,329.96,25.23,36.44,4,4
obs080,Maestre & Reynolds 2007 Oec,2007,226.25,144.96,25.23,36.44,4,4
obs081,Maestre & Reynolds 2007 Oec,2007,376.21,315.94,5.61,22.42,4,4
