obs_ID,study_ID,year_pub,C_n,C_mean,C_sd,T_n,T_mean,T_sd
obs001,"(Coates et al, 2007)",2007,10,0.89,0.2,10,0.85,0.2
obs002,"(Coates et al, 2007)",2007,10,1,0.2,10,0.98,0.2
obs003,"(Llorens et al, 2011)",2011,11,0.99,0.34,10,0.91,0.04
obs004,"(Yates et al, 2007)",2007,20,0.7,0.22,20,0.54,0.45
obs005,"(Cloutier et al, 2007)",2007,21,0.94,0.12,21,0.93,0.15
obs006,"(Hall et al, 1994)",1994,20,0.97,0.1,20,0.99,0.13
obs007,"(Doligez and Joly, 1997)",1997,33,0.85,0.05,14,0.63,0.08
obs008,"(Collevatti et al, 2001)",2001,14,1,0,10,1,0
obs009,"(Murawski and Hamrick, 1992)",1992,20,0.57,0.11,11,0.35,0.08
obs010,"(Quesada et al, 2004)",2004,36,0.96,0.27,31,0.97,0.03
obs011,"(Quesada et al, 2004)",2004,12,0.9,0.59,18,0.91,0.04
obs012,"(Dick et al, 2003)",2003,14,0.9,0.08,6,0.86,0.01
obs013,"(Hanson et al, 2008)",2008,31,0.93,0.15,31,0.87,0.18
obs014,"(Hall et al, 1994)",1994,10,0.86,0.34,29,0.79,0.04
obs015,"(Lee, 2000)",2000,10,0.92,0.04,10,0.77,0.06
obs016,"(Mathiasen et al, 2007)",2007,18,0.84,0.34,2,0.73,0.27
obs017,"(Rocha and Aguilar, 2001)",2001,20,1,0.16,20,1,0.25
obs018,"(Butcher et al, 2005)",2005,16,0.68,0.05,11,0.5,0.12
obs019,"(Mimura et al, 2009)",2009,20,0.89,0.09,20,0.65,0.21
obs020,"(Mimura et al, 2009)",2009,20,0.86,0.14,20,0.79,0.27
obs021,this study,2015,20,0.98,0.01,12,0.74,0.08
obs022,this study,2015,8,0.96,0.07,16,0.94,0.03
obs023,"(Millar et al, 2000)",2000,10,0.8,0.28,10,0.71,0.35
obs024,"(Coates et al, 2007)",2007,10,0.93,0.2,10,0.51,0.2
obs025,this study,2015,16,0.84,0.04,13,0.73,0.09
obs026,"(Hoebee and Young, 2001)",2001,10,1,0.05,10,0.96,0.05
obs027,"(Starr and Carthew, 1998)",1998,6,0.12,0.5,8,0.09,0.5
obs028,"(Franceschinelli and Bawa, 2000)",2000,19,0.65,0.05,22,0.49,0.04
obs029,"(Coates et al, 2007)",2007,10,0.65,0.2,10,0.38,0.2
obs030,"(Hirayama et al, 2007)",2007,20,0.74,0.55,10,0.62,0.1
obs031,"(Tamaki et al, 2009)",2009,35,0.68,0.69,39,0.65,0.09
obs032,"(González-Varo et al, 2010)",2010,22,0.34,0.09,10,0.13,0.1
obs033,"(Fuchs et al, 2003)",2003,15,0.92,0.17,15,0.78,0.07
obs034,"(Murawski and Hamrick, 1991)",1991,5,0.9,0.1,5,0.92,0.1
obs035,"(Jolivet et al, 2011)",2011,10,,,10,,
obs036,"(Ramos et al, 2008)",2008,18,0.5,0.44,24,0.37,0.05
obs037,"(Cascante et al, 2002)",2002,20,0.99,0.01,17,0.91,0.01
obs038,"(Ribeiro and Lovato, 2004)",2004,22,0.54,0.34,14,0.84,0.04
obs039,"(Obayashi et al, 2002)",2002,11,0.96,0.03,5,0.52,0.02
obs040,"(Murawski et al, 1994)",1994,8,0.87,0.16,22,0.71,0.1
obs041,"(Murawski and Hamrick, 1991)",1991,7,0.97,0.05,8,1,0.13
obs042,"(Breed et al, 2012)",2012,23,0.99,0.05,12,0.99,0.1
obs043,"(Breed et al, 2012)",2012,24,0.99,0.04,12,0.85,0.04
obs044,"(Aldrich and Hamrick, 1998)",1998,30,0.85,0.2,30,0.74,0.2
obs045,"(Coates et al, 2007)",2007,10,0.73,0.2,10,0.62,0.2
